anm,entry_idx,name,version,hasdata,thtxoffset,width,height,format,colorkey,sprites,scripts,texture_source
capture.anm,0,@,4,0,0,512,512,RGB565,00000000,3,0,runtime(游戏运行时自建)
pause.anm,0,@,4,0,0,128,128,RGB565,00000000,1,3,runtime(游戏运行时自建)
photo.anm,0,@,4,0,0,256,256,BGRA8888,00000000,1,2,runtime(游戏运行时自建)
photo.anm,1,@,4,0,0,256,256,BGRA8888,00000000,1,2,runtime(游戏运行时自建)
photo.anm,2,@,4,0,0,256,256,BGRA8888,00000000,1,2,runtime(游戏运行时自建)
photo.anm,3,@,4,0,0,256,256,BGRA8888,00000000,1,2,runtime(游戏运行时自建)
photo.anm,4,@,4,0,0,256,256,BGRA8888,00000000,1,2,runtime(游戏运行时自建)
photo.anm,5,@,4,0,0,256,256,BGRA8888,00000000,1,2,runtime(游戏运行时自建)
photo.anm,6,@,4,0,0,256,256,BGRA8888,00000000,1,2,runtime(游戏运行时自建)
photo.anm,7,@,4,0,0,256,256,BGRA8888,00000000,1,2,runtime(游戏运行时自建)
photo.anm,8,@,4,0,0,256,256,BGRA8888,00000000,1,2,runtime(游戏运行时自建)
photo.anm,9,@,4,0,0,256,256,BGRA8888,00000000,1,2,runtime(游戏运行时自建)
photo.anm,10,@,4,0,0,256,256,BGRA8888,00000000,1,2,runtime(游戏运行时自建)
text.anm,0,@,4,0,0,512,256,ARGB4444,00000000,41,31,runtime(游戏运行时自建)
title.anm,1,@,4,0,0,256,256,BGRA8888,00000000,2,2,runtime(游戏运行时自建)
title.anm,2,@,4,0,0,256,64,ARGB4444,00000000,1,1,runtime(游戏运行时自建)
title.anm,3,@,4,0,0,256,256,BGRA8888,00000000,1,1,runtime(游戏运行时自建)
title.anm,4,@,4,0,0,256,64,BGRA8888,00000000,1,1,runtime(游戏运行时自建)
title.anm,13,@,4,0,0,512,512,ARGB4444,00000000,17,15,runtime(游戏运行时自建)
