file	ver	anim_refs	ecli_refs	labels
boss01.ecl	ver=1	enemy.anm,boss01.anm	default.ecl	
boss01t.ecl	ver=1	enemy.anm,boss01t.anm	default.ecl	
boss02.ecl	ver=1	enemy.anm,boss02.anm	default.ecl	
boss03.ecl	ver=1	enemy.anm,boss03.anm	default.ecl	
boss04.ecl	ver=1	enemy.anm,boss04.anm	default.ecl	
boss05.ecl	ver=1	enemy.anm,boss05.anm	default.ecl	
boss06.ecl	ver=1	enemy.anm,boss06.anm	default.ecl	
boss07.ecl	ver=1	enemy.anm,boss07.anm	default.ecl	
boss08.ecl	ver=1	enemy.anm,boss08.anm	default.ecl	
boss09.ecl	ver=1	enemy.anm,boss09.anm	default.ecl	
boss10.ecl	ver=1	enemy.anm,boss10.anm	default.ecl	
boss11.ecl	ver=1	enemy.anm,boss11.anm	default.ecl	
boss12.ecl	ver=1	enemy.anm,boss12.anm	default.ecl	
boss13.ecl	ver=1	enemy.anm,boss13.anm	default.ecl	
boss14.ecl	ver=1	enemy.anm,boss14.anm	default.ecl	
boss15.ecl	ver=1	enemy.anm,boss15.anm	default.ecl	
boss16.ecl	ver=1	enemy.anm,boss16.anm	default.ecl	
boss17.ecl	ver=1	enemy.anm,boss17.anm	default.ecl	
boss18.ecl	ver=1	enemy.anm,boss18.anm	default.ecl	
boss19.ecl	ver=1	enemy.anm,boss19.anm	default.ecl	
boss20.ecl	ver=1	enemy.anm,boss20.anm	default.ecl	
boss21.ecl	ver=1	enemy.anm,boss21.anm	default.ecl	
boss22.ecl	ver=1	enemy.anm,boss22.anm	default.ecl	
boss23.ecl	ver=1	enemy.anm,boss23.anm	default.ecl	
boss24.ecl	ver=1	enemy.anm,boss24.anm	default.ecl	
boss25.ecl	ver=1	enemy.anm,boss25.anm	default.ecl	
boss26.ecl	ver=1	enemy.anm,boss26.anm	default.ecl	
boss27.ecl	ver=1	enemy.anm,boss27.anm	default.ecl	
default.ecl	ver=1			
wave01.ecl	ver=1	enemy.anm		
wave01t.ecl	ver=1	enemy.anm		
wave02.ecl	ver=1	enemy.anm		
wave02t.ecl	ver=1	enemy.anm		
wave03.ecl	ver=1	enemy.anm		
wave03t.ecl	ver=1	enemy.anm		
wave04.ecl	ver=1	enemy.anm		
wave05.ecl	ver=1	enemy.anm		
wave06.ecl	ver=1	enemy.anm		
wave07.ecl	ver=1	enemy.anm		
wave08.ecl	ver=1	enemy.anm		
wave09.ecl	ver=1	enemy.anm		
wave10.ecl	ver=1	enemy.anm		
wave11.ecl	ver=1	enemy.anm		
wave12.ecl	ver=1	enemy.anm		
wave13.ecl	ver=1	enemy.anm		
wave14.ecl	ver=1	enemy.anm		
wave15.ecl	ver=1	enemy.anm		
wave16.ecl	ver=1	enemy.anm		
wave17.ecl	ver=1	enemy.anm		
wave18.ecl	ver=1	enemy.anm		
wave19.ecl	ver=1	enemy.anm		
wave20.ecl	ver=1	enemy.anm		
wave21.ecl	ver=1	enemy.anm		
wave22.ecl	ver=1	enemy.anm		
wave23.ecl	ver=1	enemy.anm		
wave24.ecl	ver=1	enemy.anm		
wave25.ecl	ver=1	enemy.anm		
wave26.ecl	ver=1	enemy.anm		
wave27.ecl	ver=1	enemy.anm		
wave28.ecl	ver=1	enemy.anm		
wave29.ecl	ver=1	enemy.anm		
wave30.ecl	ver=1	enemy.anm		
wave31.ecl	ver=1	enemy.anm		
wave32.ecl	ver=1	enemy.anm		
wave33.ecl	ver=1	enemy.anm		
wave34.ecl	ver=1	enemy.anm		
wave35.ecl	ver=1	enemy.anm		
wave36.ecl	ver=1	enemy.anm		
wave37.ecl	ver=1	enemy.anm		
wave38.ecl	ver=1	enemy.anm		
wave39.ecl	ver=1	enemy.anm		
wave40.ecl	ver=1	enemy.anm		
wave41.ecl	ver=1	enemy.anm		
wave42.ecl	ver=1	enemy.anm		
wave43.ecl	ver=1	enemy.anm		
wave44.ecl	ver=1	enemy.anm		
wave45.ecl	ver=1	enemy.anm		
wave46.ecl	ver=1	enemy.anm		
wave47.ecl	ver=1	enemy.anm		
wave48.ecl	ver=1	enemy.anm		
wave49.ecl	ver=1	enemy.anm		
wave50.ecl	ver=1	enemy.anm		
wave51.ecl	ver=1	enemy.anm		
wave52.ecl	ver=1	enemy.anm		
wave53.ecl	ver=1	enemy.anm		
wave54.ecl	ver=1	enemy.anm		
wave55.ecl	ver=1	enemy.anm		
wave56.ecl	ver=1	enemy.anm		
wave57.ecl	ver=1	enemy.anm		
wave58.ecl	ver=1	enemy.anm		
wave59.ecl	ver=1	enemy.anm		
wave60.ecl	ver=1	enemy.anm		
wave61.ecl	ver=1	enemy.anm		
wave62.ecl	ver=1	enemy.anm		
wave63.ecl	ver=1	enemy.anm		
wave64.ecl	ver=1	enemy.anm		
wave65.ecl	ver=1	enemy.anm		
wave66.ecl	ver=1	enemy.anm		
wave67.ecl	ver=1	enemy.anm		
wave68.ecl	ver=1	enemy.anm		
wave69.ecl	ver=1	enemy.anm		
wave70.ecl	ver=1	enemy.anm		
wave71.ecl	ver=1	enemy.anm		
wave72.ecl	ver=1	enemy.anm		
wave73.ecl	ver=1	enemy.anm		
world01.ecl	ver=1	enemy.anm,boss01.anm,boss02.anm,boss03.anm,boss04.anm	default.ecl,wave01.ecl,wave02.ecl,wave03.ecl,wave04.ecl,wave05.ecl,wave06.ecl,wave07.ecl,wave08.ecl,wave09.ecl,wave10.ecl,wave11.ecl,wave12.ecl,boss01.ecl,boss02.ecl,boss03.ecl,boss04.ecl	
world01t.ecl	ver=1	enemy.anm,boss01t.anm	default.ecl,wave01t.ecl,wave02t.ecl,wave03t.ecl,boss01t.ecl	
world02.ecl	ver=1	enemy.anm,boss05.anm,boss06.anm,boss07.anm,boss08.anm	default.ecl,wave13.ecl,wave14.ecl,wave15.ecl,wave16.ecl,wave17.ecl,wave18.ecl,wave19.ecl,wave20.ecl,wave21.ecl,wave22.ecl,boss05.ecl,boss06.ecl,boss07.ecl,boss08.ecl	
world03.ecl	ver=1	enemy.anm,boss09.anm,boss10.anm,boss11.anm,boss12.anm	default.ecl,wave23.ecl,wave24.ecl,wave25.ecl,wave26.ecl,wave27.ecl,wave28.ecl,wave29.ecl,wave30.ecl,wave31.ecl,wave32.ecl,wave33.ecl,boss09.ecl,boss10.ecl,boss11.ecl,boss12.ecl	
world04.ecl	ver=1	enemy.anm,boss26.anm,boss13.anm,boss14.anm,boss15.anm,boss16.anm	default.ecl,wave34.ecl,wave35.ecl,wave36.ecl,wave37.ecl,wave38.ecl,wave39.ecl,wave40.ecl,wave41.ecl,wave42.ecl,boss26.ecl,boss13.ecl,boss14.ecl,boss15.ecl,boss16.ecl	
world05.ecl	ver=1	enemy.anm,boss17.anm,boss18.anm,boss19.anm,boss20.anm	default.ecl,wave43.ecl,wave44.ecl,wave45.ecl,wave46.ecl,wave47.ecl,wave48.ecl,wave49.ecl,wave50.ecl,wave51.ecl,wave52.ecl,wave53.ecl,wave54.ecl,boss17.ecl,boss18.ecl,boss19.ecl,boss20.ecl	
world06.ecl	ver=1	enemy.anm,boss27.anm,boss21.anm,boss22.anm,boss23.anm,boss24.anm	default.ecl,wave55.ecl,wave56.ecl,wave57.ecl,wave58.ecl,wave59.ecl,wave60.ecl,wave61.ecl,wave62.ecl,wave63.ecl,wave64.ecl,wave65.ecl,wave66.ecl,wave67.ecl,wave68.ecl,wave69.ecl,wave70.ecl,wave71.ecl,wave72.ecl,wave73.ecl,boss27.ecl,boss21.ecl,boss22.ecl,boss23.ecl,boss24.ecl	
world07.ecl	ver=1	enemy.anm,boss25.anm	default.ecl,wave01.ecl,wave02.ecl,wave03.ecl,wave04.ecl,wave05.ecl,wave06.ecl,wave07.ecl,wave08.ecl,wave09.ecl,wave10.ecl,wave11.ecl,wave12.ecl,wave13.ecl,wave14.ecl,wave15.ecl,wave16.ecl,wave17.ecl,wave18.ecl,wave19.ecl,wave20.ecl,wave21.ecl,wave22.ecl,wave23.ecl,wave24.ecl,wave25.ecl,wave26.ecl,wave27.ecl,wave28.ecl,wave29.ecl,wave30.ecl,wave31.ecl,wave32.ecl,wave33.ecl,boss25.ecl	
world08.ecl	ver=1	enemy.anm,boss01.anm,boss02.anm,boss03.anm,boss04.anm,boss05.anm,boss06.anm,boss07.anm,boss08.anm,boss09.anm,boss10.anm,boss11.anm,boss12.anm,boss13.anm,boss14.anm,boss15.anm,boss16.anm,boss17.anm,boss18.anm,boss19.anm,boss20.anm,boss21.anm,boss22.anm,boss23.anm,boss24.anm	default.ecl,wave01.ecl,wave02.ecl,wave03.ecl,wave04.ecl,wave05.ecl,wave06.ecl,wave07.ecl,wave08.ecl,wave09.ecl,wave10.ecl,wave11.ecl,wave12.ecl,wave13.ecl,wave14.ecl,wave15.ecl,wave16.ecl,wave17.ecl,wave18.ecl,wave19.ecl,wave20.ecl,wave21.ecl,wave22.ecl,wave23.ecl,wave24.ecl,wave25.ecl,wave26.ecl,wave27.ecl,wave28.ecl,wave29.ecl,wave30.ecl,wave31.ecl,wave32.ecl,wave33.ecl,boss01.ecl,boss02.ecl,boss03.ecl,boss04.ecl,boss05.ecl,boss06.ecl,boss07.ecl,boss08.ecl,boss09.ecl,boss10.ecl,boss11.ecl,boss12.ecl,boss13.ecl,boss14.ecl,boss15.ecl,boss16.ecl,boss17.ecl,boss18.ecl,boss19.ecl,boss20.ecl,boss21.ecl,boss22.ecl,boss23.ecl,boss24.ecl	
