"#スペカナンバー","スペカ名","タイプ
255 敵カード
2 スペルカード
1 スキルカード
0 システムカード","消費","カード説明テキスト
デッキ構築画面でカードを選択すると出る説明文","出現ステージ
数字のステージ以降から出現する
0は初期所持
1～6　EASY
11～16　NORMAL
21～26　HARD
31～36　LUNA","レアリティ
0　コモン
1　アンコモン
2　レア
取得抽選で
コモン60％
アンコ30％
レア10％"
100,"ウィッチレイライン",1,1,"魔力で箒を補強し、それを利用し突撃する魔理沙の基本必殺技",0,0
101,"ミアズマスウィープ",1,2,"箒に捕まり上昇攻撃を行う対空技無敵時間が有り接近戦に強い",0,0
102,"グラウンドスターダスト",1,4,"接地起爆する魔法瓶を投げつける着弾まで間が有るが投げる位置は敵を正確にサーチ",0,0
103,"メテオニックデブリ",1,0,"小型マジックミサイルを乱射する広範囲だがムラが有るのが欠点",0,0
104,"ラジアルストライク",1,1,"箒を銃身として使うことで　　　レイラインの推力を弾に変換した発射は遅いが弾速、威力共に優秀",1,0
105,"バスキースウィーパー",1,2,"魔力を移動に集中したスウィープ箒の直接攻撃力は無くなったが　代わりにバーニアが攻撃力を持つ",1,0
106,"デビルダムトーチ",1,4,"改良薬剤を使用して着弾地点から広範囲に炎を撒き散らす魔法瓶　重さで飛距離が下がるのはご愛嬌",1,0
107,"ナロースパーク",1,0,"前方にレーザーを照射して攻撃　発射が遅いが射撃の貫通力が高く打ち合いに捻じ込めば強力",1,0
108,"アップスウィープ",1,1,"箒の推力を利用して回転上昇　　バーニアがそのまま攻撃も兼ねるアクロバティックな技　　　　　無敵時間は無いが判定が強いためカウンター性能はそれなりに高い",1,1
109,"ステラミサイル",1,2,"真上に向けマジックミサイル発射弾丸は一定距離を飛行後炸裂する炸裂まで無判定だが爆風は広く　持続するため上空の制圧や　　　空中での盾に使うことが出来る",1,1
111,"グリーンスプレッド",1,0,"広範囲に細い拡散レーザーを発射収束させそこに魔力球を生成する拡散レーザーに判定はないが　　反面、相殺されずに爆風で攻撃が可能と見ることもできる",1,1
200,"恋符「マスタースパーク」",2,3,"彼女の代名詞である極太レーザー照射時に前方以外に回り込まれるリスクには要注意",0,0
202,"魔砲「ファイナルスパーク」",2,5,"大出力レーザーを惜しみなく照射前方であれば逃げ場はほぼ無い上直撃の威力も消費に対し高い",0,0
203,"星符「ドラゴンメテオ」",2,5,"上空から大出力レーザーを発射　威力が高く角度の制御も可能　　射出時に上空へ移動するので　　上手く使えば回避も可能",1,2
205,"魔符「スターダストレヴァリエ」",2,2,"ウィッチレイラインを強化した技突進速度と威力が大きく伸びた",1,1
206,"星符「エスケープベロシティ」",2,3,"ミアズマスウィープを大幅改良　接近状態でのカウンターや上空の敵を討ち取るのに効果を発揮",1,1
207,"彗星「ブレイジングスター」",2,5,"一度画面外に退避し高速で再突入攻撃はほぼ画面全体に及び　　　止める事も不可能である強力な技欠点は退避を挟む為発生が遅い事",1,2
208,"星符「メテオニックシャワー」",2,1,"前方に大量の弾をばら撒く射撃　燃費が安く気楽に使用が出来る",0,0
211,"光符「ルミネスストライク」",2,2,"箒を砲身として使い魔法弾を発射弾丸が大きく速度も速い為　　　レーザーとは違う味わいを持つ",1,1
215,"儀符「オーレリーズサン」",2,2,"魔力で制御するビットを装着する装着中は射撃がビットからに変化大幅に強化される　　　　",1,1
219,"邪恋「実りやすいマスタースパーク」",2,5,"細いレーザーを導線に使うことでマスタースパークの出力を増幅　超大火力の前方攻撃を可能にした",1,2
