"#スペカナンバー","スペカ名","タイプ
255 敵カード
2 スペルカード
1 スキルカード
0 システムカード","消費","カード説明テキスト
デッキ構築画面でカードを選択すると出る説明文","出現ステージ
数字のステージ以降から出現する
0は初期所持
1～6　EASY
11～16　NORMAL
21～26　HARD
31～36　LUNA","レアリティ
0　コモン
1　アンコモン
2　レア
取得抽選で
コモン60％
アンコ30％
レア10％"
100,"サマーレッド",1,0,"火属性魔法の基本発展形　　　　前方に大型の火炎弾を射出する　貫通力と威力に優れ使いやすいが直線ゆえ回避され易くも有る",0,0
101,"ウィンターエレメント",1,4,"水属性魔法の基本発展形　　　　敵の足元に水脈を呼び寄せ　　　高水圧の噴水を発生させ攻撃する",0,0
102,"スプリングウィンド",1,2,"木属性魔法の基本発展形　　　　風圧で敵の攻撃をいなすと同時に敵を押し返し距離を取ることが出来る",0,0
103,"オータムエッジ",1,1,"金属性魔法の基本発展形　　　　金属元素を利用し鋭利な刃を生成操作により敵へ殺到させる　　　威力は小さいが数に物を言わせた厚さが最大の売り",0,0
104,"ドヨースピア",1,3,"土属性魔法の基本発展形　　　　地中から宝石の槍が出現し　　　上空から敵へと襲い掛かる　　　",0,0
105,"サマーフレイム",1,0,"火属性魔法の特殊発展形　　　　威力ではなく範囲を重視し前方の広い角度へ炎を発生させる　　　掠った位の威力は微々たる物だが回避に大きな動きを強制できる　",1,0
106,"コンデンスドバブル",1,4,"水属性魔法の防御強化形　　　　相手の攻撃を受け止める泡の盾　有る程度攻撃を受けると割れるがこの時攻撃力が有るため反撃可能",1,0
107,"フラッシュオブスプリング",1,2,"木属性魔法の攻撃特化形　　　　手元に超高圧の空気の塊を作り　それを相手へとぶつける射撃技　超弾速が特徴で射線上の相手は　目視からの回避も困難となる",1,0
108,"オータムブレード",1,1,"金属性魔法の攻撃特化形　　　　金属元素を集め丸鋸状の刃を作り相手へと投げつける　　　　　　鋸は上下に狙いが広く当て易い上床で跳ね返る特性がある",1,0
109,"エメラルドシティ",1,3,"土属性魔法の防御特化形　　　　地中から宝石の壁を作り出し　　周囲の敵を吹き飛ばして攻撃する本体に無敵時間が有り範囲も広く切り返しとして強力",1,0
200,"火金符「セントエルモピラー」",2,3,"火、金の合成符　　　　　　　　高密度の熱の塊を作り出し発射　地面に叩き付ける事で火柱とする射出時に敵の足元を狙うため　　踏み込まれると外れやすい",0,0
201,"土水符「ノエキアンデリュージュ」",2,2,"土、水の合成符　　　　　　　　圧縮した水を前方へ吹き付ける技消費が少なく弾速、密度も良好で相手との射ち合いで効果を発揮",0,0
202,"金木符「エレメンタルハーベスター」",2,2,"金、木の合成符　　　　　　　　歯車の形をした刃で周囲を守り　近くの敵を迎撃する防御スペル　",0,0
203,"日符「ロイヤルフレア」",2,5,"小型の太陽を作り出し全てを光で焼き払う彼女の最高峰魔法の一つ吸血鬼の館に住む者が使う魔法としては何とも因縁めいた物である",1,2
204,"月符「サイレントセレナ」",2,4,"展開した魔法陣から月の光を収束した光の矢を発射して敵を射抜く魔法陣の内側は不可侵領域となりその中心に居るパチュリーには　鉄壁の守りとなる",1,1
205,"火水木金土符「賢者の石」",2,5,"元素練成したマジックアンプ　　必殺技に石が反応して追加攻撃　弾幕を強固にする　　　　　　　砕けた石は効果時間が続く限り　時間経過で再生する",1,2
206,"水符「ジェリーフィッシュプリンセス」",2,3,"泡による防護壁を生成して装着　泡が攻撃を受け止めてくれる　　泡が有る限り本体は無敵だが　　泡が大きくグレイズ出来ないので長時間の効果は期待しにくい",1,1
207,"月木符「サテライトヒマワリ」",2,3,"上空に自立攻撃を行う光弾を放つ光弾は螺旋状に上昇しながら下へ弾をばら撒き援護してくれる",1,0
210,"日木符「フォトシンセシス」",2,3,"周囲の魔力を凝縮させた場を作り中に入ると霊力の回復が促進　　無尽蔵に射撃が使える状態になる場は設置すると動かせず、他の　カードを使うと消えるので注意",1,1
