"#スペカナンバー","スペカ名","タイプ
255 敵カード
2 スペルカード
1 スキルカード
0 システムカード","消費","カード説明テキスト
デッキ構築画面でカードを選択すると出る説明文","出現ステージ
数字のステージ以降から出現する
0は初期所持
1～6　EASY
11～16　NORMAL
21～26　HARD
31～36　LUNA","レアリティ
0　コモン
1　アンコモン
2　レア
取得抽選で
コモン60％
アンコ30％
レア10％"
100,"デーモンロードウォーク",1,0,"吸血鬼の身体能力を活かし　　　目にも留まらぬ速度で駆け抜けて敵に打撃を加える",0,0
101,"サーヴァントフライヤー",1,1,"魔法陣を展開し蝙蝠弾を発射　　魔法陣の位置はランダムであるが広く展開し時間差で攻撃するため牽制と接近の布石に役立つ",0,0
102,"デーモンロードクレイドル",1,2,"上空へオーラを纏った突進攻撃　隙は大きいが無敵時間が有り　　カウンター、連続技に役立つ",0,0
103,"デーモンロードアロー",1,4,"後方の壁に飛び退き反動で突撃　相手の位置目掛けて角度は固定　突撃に弾幕回避能力が有る",0,0
104,"ヴァンパイアクロウ",1,0,"入力を繰り返せば三連続で攻撃を繰り返せる打撃コンビネーション全て当てた時の威力は高い",1,0
105,"チェーンギャング",1,1,"鎖の形状をした赤いオーラを発射敵へと向かって伸びる追尾弾　　ホールドで鎖の範囲を伸ばせるがその間動けないので注意",1,0
106,"ロケットキックアップ",1,2,"高速の楔弾をキックから発射する地上はほぼ無防備だが、頭上の　敵には強力な対抗手段になる",1,0
107,"シーリングフィア",1,4,"天井へ移動し逆さ釣りになる　　その後真下へ向けて高速で落下　",1,0
109,"デモンズディナーフォーク",1,1,"魔力を槍状に収束した弾丸を投擲ボタン押し続けでチャージ可能で同時に投げる槍の本数が増加する",1,1
200,"紅符「不夜城レッド」",2,3,"周囲を赤いオーラで焼き払う技で迎撃能力が高く切り返しの要　　縦に射程を持つので空中の敵にも強力なスペルとなる",0,0
201,"必殺「ハートブレイク」",2,2,"槍状の貫通力が高いオーラを放つ大抵の弾幕を一方的にかき消し　敵を一瞬で貫く　　　　　　　　オーラを武器状に収束する系列はバリエーションに富む",0,0
202,"夜符「デーモンキングクレイドル」",2,2,"吸血鬼の身体能力を活かした　　直接攻撃系のスペルカード　　　隙は大きいがカード消費に対して威力などのスペックは高め",1,0
203,"紅魔「スカーレットデビル」",2,5,"不夜城レッドの上位版スペル　　効果の及ぶ範囲と威力が激増した存在だけで敵を威圧できる　　　正に赤い悪魔のカードである",0,0
204,"神槍「スピア・ザ・グングニル」",2,4,"ハートブレイク上位版　　　　　槍のサイズと威力が向上した　　速度はもはやレーザーに等しく　距離があっても一瞬で敵を穿つ　",1,1
205,"夜王「ドラキュラクレイドル」",2,5,"赤いオーラを纏い弾丸と化す技　打撃に対し圧倒的だが、突進中は飛び道具に無防備なのが唯一の欠点",1,2
206,"夜符「バッドレディスクランブル」",2,3,"素早く壁に飛びつき、相手へ向け錐揉み体当たりを仕掛ける　　　対弾幕貫通力が高く、後方移動で敵を惑わすことも可能である",1,1
207,"運命「ミゼラブルフェイト」",2,3,"鎖の形状をした赤いオーラを発射多数を敵へ向けて伸ばし追跡する",1,1
