"#スペカナンバー","スペカ名","タイプ
255 敵カード
2 スペルカード
1 スキルカード
0 システムカード","消費","カード説明テキスト
デッキ構築画面でカードを選択すると出る説明文","出現ステージ
数字のステージ以降から出現する
0は初期所持
1～6　EASY
11～16　NORMAL
21～26　HARD
31～36　LUNA","レアリティ
0　コモン
1　アンコモン
2　レア
取得抽選で
コモン60％
アンコ30％
レア10％"
100,"坤儀の剣",1,1,"気質を地中へ打ち込み隆起させる高威力で左右に広い判定があるが上空の敵には効果が薄い",0,0
101,"天罰の石柱",1,4,"要石を落下させ結界とする　　　石は敵の攻撃を受ける効果が有り強力な盾としても機能する",0,0
102,"非想の威光",1,0,"要石から気質を針の様に尖らせたレーザー状の飛び道具を連続発射対射撃における貫通力は強力",0,0
103,"非想の剣",1,2,"緋想の剣を踏み込みから一閃　　踏み込み中はグレイズ判定が有り弾幕を無理矢理突き進める　　　",0,0
104,"六震-相-",1,1,"緋想の剣を地面に打ち込み局地的地震を発生させる全体攻撃　　　相手が地上に居れば攻撃が成立しグレイズでの回避も出来ない反面空中の敵には無力",1,0
105,"守りの要",1,4,"石で周囲を守り弾幕避けにする技装着状態で再入力することで石を敵へ向けて飛ばすことも出来る　",1,0
106,"天地プレス",1,0,"石で敵を挟み込み押しつぶす　　ホールドで石の間隔を調節し　　ぶつける位置を調整できる　　　",1,0
107,"緋想の剣",1,2,"緋想の剣を闇雲に振り回して攻撃狭い範囲だが複数回攻撃し判定も強いため接近戦で使いやすい",1,0
200,"地符「不譲土壌の剣」",2,2,"気質を地中へ打ち込み地形を　　大きく隆起させて左右を攻撃する隆起の進行が遅いため相対的に　隙が小さい技になった",0,0
201,"非想「非想非非想の剣」",2,2,"緋想の剣が持つ力の一つ　　　　気質の封印を施すスペルカード　斬られた敵はしばらくの間天候の影響を一切受けなくなってしまい天候次第で有利な時間を作れる　",0,0
202,"天符「天道是非の剣」",2,3,"緋想の剣を構え上空に突撃　　　外した時の隙は絶望的だが　　　無敵技として要る物は揃っている",0,0
203,"地震「先憂後楽の剣」",2,5,"地面に剣を刺し地殻変動を発生　しばらく間を置いて地震が起こり地上に居る敵にダメージを与える地上に逃げ場は無いが空には無力時間差も有るので癖の強いスペル",1,1
204,"気符「天啓気象の剣」",2,4,"緋想の剣が持つ力の一つ　　　　気質の操作を使ったスペルカード周囲の気質を剣に集め、放つ　　天候が乱れてると高威力になるが現在の天候を終了させてしまう　",1,1
205,"要石「天地開闢プレス」",2,5,"画面上空へ大きく高度を取り　　巨大化させた要石を抱えて一気に落下して相手を押しつぶすかなり滅茶苦茶な技",1,1
206,"気符「無念無想の境地」",2,4,"一定時間自身の身体強度を上げる効果の続く間ガードは出来ないが被弾してものけぞらなくなる　　実は気合で我慢しているだけとか",1,2
207,"「全人類の緋想天」",2,5,"周囲の気質を緋想の剣に凝縮　　下方へ一気に解き放つ超大技　　発動に周囲の気質を全て使う点に注意しておこう",1,2
