"#スペカナンバー","スペカ名","タイプ
255 敵カード
2 スペルカード
1 スキルカード
0 システムカード","消費","カード説明テキスト
デッキ構築画面でカードを選択すると出る説明文","出現ステージ
数字のステージ以降から出現する
0は初期所持
1～6　EASY
11～16　NORMAL
21～26　HARD
31～36　LUNA","レアリティ
0　コモン
1　アンコモン
2　レア
取得抽選で
コモン60％
アンコ30％
レア10％"
100,"マインドエクスプロージョン",1,0,"ロケット弾に似た弾丸を発射　　何かに触ると精神波を撒き散らす弾丸自体は低速だが爆発効果で　弾幕の押し合いに強い",0,0
101,"イリュージョナリィブラスト",1,1,"前方に狂気の波長を収束して攻撃所謂レーザー攻撃に近いため　　貫通性能が非常に高い　　　　　",0,0
102,"フィールドウルトラレッド",1,2,"周囲に波長変換フィールドを設置内部に入った敵の視覚を混乱させ相手は射撃を当てられなくなる",0,0
103,"ディスビリーフアスペクト",1,4,"波長変化を利用した幻影を投射　幻影は射撃による攻撃を行う　　幻影は実体のように動くため　　一種の幻惑効果も併せ持つ",0,0
104,"マインドベンディング",1,0,"広範囲に散弾タイプの弾丸を発射初速も速くなり敵に当てやすいが代わりに威力に大きなムラが出る欠点を抱える事となってしまった",1,0
105,"アイサイトクリーニング",1,1,"視線の範囲を示すサイトを展開　キーを押し続けて範囲を拡大し　離した時に範囲内に相手が居れば狂気の視線波が敵を瞬時に捉える",1,0
106,"フィールドウルトラバイオレット",1,2,"敵の認識を狂わせる波長を展開　相手は無い筈の物が見えてしまい虚像の射撃が実弾の効果を持つ　",1,0
107,"ディスオーダーアイ",1,4,"映像を周囲に複数飛ばす　　　　散開したダミーは射出地点へ収束敵へダメージを与える　　　　　映像展開後収束まで本体は無敵",1,0
108,"マインドドロッピング",1,0,"上空へ向けて弾丸を発射　　　　空中で弾け飛び地上へ降り注ぐ　分裂前も対空射撃として機能し　散弾で本体との同時攻撃も可能",1,1
109,"リップルヴィジョン",1,1,"リング状の視線ビームを発射　　リングは時間と共に巨大化し　　遠距離ほど回避が困難になる",1,1
110,"アンダーセンスブレイク",1,2,"直接攻撃能力を持つ狂気の視線波シンプルに攻撃や防御に役立ち　実戦で扱いやすいタイプ",1,1
200,"惑視「離円花冠(カローラヴィジョン)」",2,1,"飛距離比例で巨大化するリング弾消費が少ない割りに範囲が広く　牽制等気軽に使いやすい",0,0
202,"幻爆「近眼花火(マインドスターマイン)」",2,3,"全方向へ精神爆弾の弾丸を一斉に発射する射撃スペルカード　　　弾丸は時間差で炸裂し周囲の敵を一斉に攻撃する",0,0
203,"幻惑「花冠視線(クラウンヴィジョン)」",2,3,"飛距離で巨大化するリング弾を　高速で連射するスペル　　　　　",1,1
205,"「幻朧月睨(ルナティックレッドアイズ)」",2,5,"相手を狂気に追いやる波長の渦を広範囲に発生させる。威力、範囲に優れるが発動はそれ相応の重さ",1,2
206,"弱心「喪心喪意(ディモチヴェイション)」",2,1,"至近距離から狂気の視線を浴びせ相手の精神にショックを与える　食らうと一枚カードが破壊され　使用することなく失ってしまう　",0,0
207,"喪心「喪心創痍(ディスカーダー)」",2,3,"精神破壊効果のある弾丸を発射　命中するとカードを二枚破壊する消費に対して破壊量は少ないが　技の命中率や威力を上げるため　コストの増大を余儀なくされた",1,1
208,"毒煙幕「瓦斯織物の玉」",2,2,"空気と反応してガス化する薬品　ガスは比重が空気より重いため　地表に溜まり敵の体力を奪う　　ちなみに本人は解毒薬服用済み",1,1
209,"生薬「国士無双の薬」",2,3,"永琳印の強壮薬を使用　　　　　一定時間身体能力が向上し　　　攻撃力、防御力が上昇する　　　なお使い過ぎるとアレな物だが本人には知らされていない　　　",1,2
