"#スペカナンバー","スペカ名","タイプ
255 敵カード
2 スペルカード
1 スキルカード
0 システムカード","消費","カード説明テキスト
デッキ構築画面でカードを選択すると出る説明文","出現ステージ
数字のステージ以降から出現する
0は初期所持
1～6　EASY
11～16　NORMAL
21～26　HARD
31～36　LUNA","レアリティ
0　コモン
1　アンコモン
2　レア
取得抽選で
コモン60％
アンコ30％
レア10％"
100,"反射下界斬",1,0,"白楼剣で射撃を跳ね返す壁を生成攻撃力は無いが反射範囲は広い　",0,0
101,"弦月斬",1,2,"楼観剣で周囲をなぎ払う反撃技　前方から上方を切り払う無敵技で対空や割り込みに活躍",0,0
102,"生死流転斬",1,1,"入力を繰り返して派生する連続技",0,0
103,"憑坐の縛",1,4,"半身を敵へ向けて飛ばす技　　　ヒットすると半身が敵を基準に　位置取りするようになる　　　　",0,0
104,"結跏趺斬",1,0,"剣気を飛ばすスタンダードな技　妖夢に取っては貴重な直接射撃で相殺強度、攻撃範囲共に優秀　　",1,0
105,"伏折無間",1,2,"敵を掴み姿勢を崩す数少ない投げ相手に接近する必要が有るが　　ガード不能なので敵を崩しやすい",1,0
106,"心抄斬",1,1,"長距離を一気に踏み込み切り払う足元を切り払うため下段攻撃　",1,0
107,"悪し魂",1,4,"半身がその場で発光し攻撃　　　入力された地点で攻撃するため　当てるには制御に工夫が必要",1,0
109,"炯眼剣",1,2,"白楼剣で直接打撃を受け止め　　楼観剣の一閃で敵を切り払う当身妖夢の技の中でも屈指の威力",1,1
111,"奇び半身",1,4,"半身から射撃を行う操作技　　　射撃後に半身の隙が有るものの　同時攻撃に使いやすい",1,1
200,"人符「現世斬」",2,2,"前方へ踏み込み相手を斬り抜ける空中の相手に命中し難いが　　　地上戦では非常に強力",0,0
201,"断命剣「冥想斬」",2,2,"楼観剣を妖力媒体として使い　　巨大な光の刀身を生成して斬る　楼観剣強化スペルの基本形",0,0
202,"魂符「幽明の苦輪」",2,2,"半身が本体をトレースし追加攻撃火力が低下してしまうが時間差で追加攻撃するため隙が減るに近い",1,1
203,"人鬼「未来永劫斬」",2,5,"踏み込み斬りで敵を宙へ舞い上げ連続追撃で空中へ縫い付ける　　威力は非常に高く無敵時間も持つ攻防に置ける万能完成形の一つ",0,0
204,"断迷剣「迷津慈航斬」",2,4,"楼観剣に大量の妖力をつぎ込み　巨大な刀身を作り出して薙ぎ払う前方に対して圧倒的攻撃力を誇り相手は回避することすら難しい",1,2
205,"魂魄「幽明求聞持聡明の法」",2,5,"半身が妖夢の攻撃をトレースする消費は多いが効果時間が長くなり半身との同期も一瞬で完了する　",1,2
206,"剣伎「桜花閃々」",2,3,"高速で前方に移動、間髪入れず　軌道上に桜色の剣閃が走る　　　可憐な技であるが庭の剪定から　生まれた生活感溢れる技術だとか",1,1
207,"断霊剣「成仏得脱斬」",2,4,"白楼剣、楼観剣の二本を交差させ上空への剣気の柱を作り出す　　射出まで無敵で対空、割り込み　上空への連続技に活用できる",1,1
