"#スペカナンバー","スペカ名","タイプ
255 敵カード
2 スペルカード
1 スキルカード
0 システムカード","消費","カード説明テキスト
デッキ構築画面でカードを選択すると出る説明文","出現ステージ
数字のステージ以降から出現する
0は初期所持
1～6　EASY
11～16　NORMAL
21～26　HARD
31～36　LUNA","レアリティ
0　コモン
1　アンコモン
2　レア
取得抽選で
コモン60％
アンコ30％
レア10％"
100,"幽胡蝶",1,1,"手元から幽霊の形をした弾を発射画面端で蝶に姿を変え敵を追尾　敵を追い詰める弾幕となる",0,0
101,"未生の光",1,0,"五筋の光の形状をしたレーザー　放射状に放つ為距離が開くほど　カバーできる範囲が広くなる　　　",0,0
102,"悉皆彷徨",1,3,"大量の幽霊を輪の形に呼び出す　輪は上方へ向けて進みながら攻撃見た目通り上空の敵に対して　　強力な牽制となる",0,0
103,"胡蝶夢の舞",1,2,"前方へ踏み込み両手の扇で攻撃　普段の緩慢な動きとうって変わり鋭い突進技として機能する　　　強は大振りだがグレイズ能力有り",0,0
104,"好死の霊",1,1,"幽胡蝶の変形技　　　　　　　　画面端に接触した幽霊が光に分離より攻撃的に変化した",1,0
105,"鳳蝶紋の槍",1,0,"刃の様に収束した妖気を放出する発射の際余剰の力が蝶になり　　広い範囲にランダムに飛び散る　計算ずくとの事だが本当なのか　少々怪しいものがある",1,0
106,"誘霊の甘蜜",1,3,"幽霊を誘導する発光体とそれを　追いかける幽霊を同時発射する　発光体はキーで位置を操作でき　それで幽霊を制御する間接攻撃　ホールドで制御時間を延長可能",1,0
107,"逆さ屏風",1,2,"後ろへ身を翻して前方を払う打撃無敵が有り威力も高いが判定が　極端に前方に短く、相手が攻撃をしていない限りほぼ当たらない　カウンター専用と言える技",1,0
108,"スフィアブルーム",1,1,"光の粒を鞭の様にしならせて撒く粒は時間差で桜に弾けて敵を攻撃強で出すと彼女の文様を描く",1,1
200,"死符「ギャストリドリーム」",2,2,"円状に大量の蝶弾を発射する　　周囲をカバーし無敵もあるため　切り替えしの基本となるカード",0,0
201,"冥符「黄泉平坂行路」",2,1,"手元に冥界への簡易門を形成　　幽霊達がそこから前方へ殺到する統率されてるとはいえ幽霊なので軌道は毎回気まぐれ",0,0
202,"霊符「无寿の夢」",2,2,"幽霊を憑り付かせ体力を奪う　　幽々子がダメージを受けるなど　制御が途切れた場合憑依が解除し総ダメージが低くなるのに注意",0,0
203,"死蝶「華胥の永眠」",2,4,"周囲に蝶弾の嵐を巻き起こす　　蝶弾は幽々子の周囲を旋回した後画面全体へと散っていく",1,1
204,"再迷「幻想郷の黄泉還り」",2,5,"地表に冥界への門を開く大技　　門からは幽霊が殺到し敵を攻撃　門は敵を緩やかに追跡するため　敵の移動を大きく制限できる",1,1
205,"寿命「无寿国への約束手形」",2,4,"幽霊を放ち敵へ憑り付かせる　　この段階では無害だが幽霊が全て消える瞬間に攻撃判定が出現するカウント前に攻撃を受けると　　憑依が解除されるので注意",1,2
206,"霊蝶「蝶の羽風生に暫く」",2,2,"幽胡蝶の広域版。壁で蝶に変わる幽霊を全方位に一斉発射　　　　幽霊に攻撃力は無いが、時間差で同時攻撃するには好都合",1,1
207,"蝶符「鳳蝶紋の死槍」",2,4,"背面に扇を展開し、ビームと　　蝶弾を前方へ乱射する　　　　　",1,2
208,"幽雅「死出の誘蛾灯」",2,3,"幽霊が敵を取り囲み徐々に狭まる直接当てるのは難しいが、敵の　自由を奪う効果は強力",1,2
