"#スペカナンバー","スペカ名","タイプ
255 敵カード
2 スペルカード
1 スキルカード
0 システムカード","消費","カード説明テキスト
デッキ構築画面でカードを選択すると出る説明文","出現ステージ
数字のステージ以降から出現する
0は初期所持
1～6　EASY
11～16　NORMAL
21～26　HARD
31～36　LUNA","レアリティ
0　コモン
1　アンコモン
2　レア
取得抽選で
コモン60％
アンコ30％
レア10％"
100,"人形操創",1,0,"人形を定位置に固定させ攻撃するボタンで設置位置を選択可能で　相手を縛る機雷となる基本技　　",0,0
101,"人形無操",1,2,"魔力を込めた人形を発射し離脱　人形は衝撃を受けると爆発する　",0,0
102,"人形置操",1,1,"上空に複数の人形を待機させた後それらに時間差で攻撃を行わせる",0,0
103,"人形振起",1,4,"強射撃で待機状態の人形を使い　周辺を攻撃させる設置系の技　　大量に設置をしておけば大威力　広範囲に攻撃することが出来る",0,0
104,"人形帰巣",1,0,"投げた人形をブーメランのように引き戻して攻撃する特殊な射撃　行きも攻撃力を持つためアリスに珍しく直接攻撃能力も高い",1,0
105,"人形火葬",1,2,"魔力を込めた人形を投げつける　こちらは着弾までが遅い代わりに本体との同時攻撃を可能にした　",1,0
106,"人形千槍",1,1,"周囲に武器を持った人形を集め　前方への突きを連射する近接攻撃人形による攻撃だが打撃扱いで　グレイズでの回避は出来ない",1,0
107,"人形ＳＰ",1,4,"弱で人形を周囲にストックし　　強でストック消費して攻撃を行う最大三つまで待機する事が可能で最大時に弱で全てを同時に放出できる",1,0
109,"大江戸爆薬からくり人形",1,2,"自走能力の有る人形爆弾を投擲　人形は地上をゆっくりと歩き　　接近、衝撃等を受けると爆発する画面上に出せるのは一つまで",1,1
111,"シーカーワイヤー",1,4,"強射撃で待機中の人形で屈折する反射光線を発射する技　　　　　光線は全ての人形を経由し最後は相手へ向けて飛来する",1,1
200,"魔符「アーティフルサクリファイス」",2,1,"魔力を込めた人形を投げ爆発　　着弾が遅いため直撃は難しいが　消費に対し威力は高い",0,0
201,"戦符「リトルレギオン」",2,2,"人形が方陣を組んで敵を攻撃　　方陣は時間で形を拡大していく　威力は控えめだが行動を制限する効果は高い",1,0
202,"咒符「上海人形」",2,2,"人形から高出力のレーザーを照射射出が早い上射程も無限なため　一般的な射撃として使いやすい",0,0
203,"魔操「リターンイナニメトネス」",2,3,"強力な爆発を起こす人形を投擲　爆発、威力、着弾速度が増加した",0,0
204,"戦操「ドールズウォー」",2,4,"密度の高い人形の方陣を形成　　方陣の中心に敵を捕らえれば威力拘束時間で見返りが得られる　　",1,1
205,"咒詛「蓬莱人形」",2,4,"複数の人形からレーザーを照射　前方広範囲をカバーでき高威力　",1,2
206,"偵符「シーカードールズ」",2,2,"上空に大量の人形を配置した後　レーザーの網を下方向に作り出す威力は当たり方次第で不安定だが敵を燻し出す効果は高い",1,1
207,"紅符「和蘭人形」",2,4,"十字にレーザーを放つ人形を発射本体は投げてすぐに動けるので　レーザーを盾に戦闘を有利に　　進める一手として利用できる",1,2
208,"人形「未来文楽」",2,3,"人形一つを精密操作するモード　人形は本体のようにキーで動き　攻撃や移動を素早く行える　　　第四ボタンで操作を中断可能",1,1
209,"注力「トリップワイヤー」",2,2,"強射で設置済みの人形とその間の紐が発光して攻撃力を持つ　　　位置関係を上手く操れば痒い所に攻撃が届く便利な技",1,1
