key,name,path,path2,line,track_no,title,author,comment
type,string,string,string,integer,integer,string,string,string
101,,data\bgm\reimu1.ogg,,0,1,春色小径　～ Colorful Path,（あきやまうに）,この手のアレンジは、がんばってベースとか色々動かしちゃうとそれっぽくなら\nないので、演奏の力に頼って編曲自体はあんまりがんばらない方向で。\n──がんばったのはそう、過去最多のクラッシュシンバル数。　　　Gt. にいむ
102,,data\bgm\marisa1.ogg,,0,2,メイガスナイト,（あきやまうに）,今回一番やる気だった曲。でもスウィングの比率の手動変更とか、生音の編集と\nか、面倒な作業が多くて大変。曲のコメント書くのはもっと大変。コメントが無\nかったら、なんとキャラクターカラーの種類が増えるくらい大変。　Vn. ＪＵＮ
103,,data\bgm\ichirin1.ogg,,0,3,時代親父とハイカラ少女,（あきやまうに）,イントロからして方向性がすぐ決まったので割とあっさりと。今回は全体的に弦\n楽器の演奏に配慮して＃系の調が多いけど、自分は金管出身なのでどうも＃は使\nいづらい。この曲もつらい。HとかFisとか。なぜこの調にしてしまったのか。
104,,data\bgm\hijiri1.ogg,,0,4,感情の摩天楼　～ Cosmic Mind,（あきやまうに）,作りやすい楽器で作ったら、どういうジャンルのアレンジか分からないことに。\nゲーム音楽らしいと言えばそうかもしれない。フレーズも多くてアレンジしやす\nいはずなのに、最後の方に作ったのでちょっとネタ切れ気味。　　　Gt. にいむ
105,,data\bgm\futo1.ogg,,0,5,大神神話伝,（あきやまうに）,今回のまったりゆっくり枠。そうするつもりは無かったのに、アコーディオンの\nせいだろうか。この曲、意外と元フレーズが少なくて困る。書くことも無くて困\nる。布都ちゃんはかわいいって書いて埋めるしかない。埋まった。　Gt. にいむ
106,,data\bgm\miko1.ogg,,0,6,聖徳伝説　～ True Administrator,（あきやまうに）,当初予定してた演出を断念したため、楽器編成がちょっと歪な感じに。基本的に\n使う楽器は少ない方がいいね。てきとうにパッドを和音で鳴らすとか甘えだね！\n短３度上の転調とか甘えだね！！　時間が無いと甘えるよ！！！　　Gt. にいむ
107,,data\bgm\nitori1.ogg,,0,7,芥川龍之介の河童　～ Candid Friend,（あきやまうに）,アレンジした中で、一番最初に作って一番最後にできた曲がこちらになります。\n結構速くて運指が大変かと思ってたら意外といけてて、ブレスの位置の方が問題\nだったという。木管奏者への配慮が足りない。　　　　Fl. ｔｍｙ　Cl. ｒｙｏ
108,,data\bgm\koishi1.ogg,,0,8,ハルトマンの妖怪少女,（あきやまうに）,元曲フレーズ少ないのほんと勘弁なー。バイオリンさんは色々無茶言ってもなぜ\nか弾いてくれちゃうので特に配慮しないけど。でも今回はスウィングとか変拍子\nとか大変だったらしい。がんばってくれた！　曲数も多いしね。　　Vn. ＪＵＮ
109,,data\bgm\mamizou1.ogg,,0,9,佐渡のニッ岩,（あきやまうに）,イントロが俺にサンバにしろと囁いていたため、このようなアレンジに。\n実際の作業に取り掛かるまで、ずっと頭の中で反芻してたのですぐできた！\nいつもこうだと楽なんだけどね！
