key,file_path,balloon_x,balloon_y,base_offset_x,base_offset_y,face_type
type,s,i,i,i,i,s
一輪_汗1,data/system/char_def/face/ichirin/汗1.dds,740,280,0,0,B
一輪_嬉1,data/system/char_def/face/ichirin/嬉1.dds,735,290,0,0,A
一輪_驚1,data/system/char_def/face/ichirin/驚1.dds,735,290,0,0,A
一輪_決1,data/system/char_def/face/ichirin/決1.dds,735,310,80,0,C
一輪_選1,data/system/char_def/face/ichirin/選1.dds,735,290,0,0,A
一輪_怒1,data/system/char_def/face/ichirin/怒1.dds,735,290,0,0,A
一輪_必1,data/system/char_def/face/ichirin/必1.dds,735,310,80,0,C
一輪_普1,data/system/char_def/face/ichirin/普1.dds,735,290,0,0,A
一輪_普2,data/system/char_def/face/ichirin/普2.dds,740,280,0,0,B
一輪_普3,data/system/char_def/face/ichirin/普3.dds,740,280,0,0,B
一輪_負1,data/system/char_def/face/ichirin/負1.dds,740,280,0,0,B
一輪_余1,data/system/char_def/face/ichirin/余1.dds,735,290,0,0,A
一輪_余2,data/system/char_def/face/ichirin/余2.dds,735,290,0,0,A
一輪_余3,data/system/char_def/face/ichirin/余3.dds,740,280,0,0,B
一輪_惑1,data/system/char_def/face/ichirin/惑1.dds,740,280,0,0,B
