key,file_path,balloon_x,balloon_y,base_offset_x,base_offset_y,face_type
type,s,i,i,i,i,s
こいし_汗1,data/system/char_def/face/koishi/汗1.dds,735,320,0,0,A
こいし_嬉1,data/system/char_def/face/koishi/嬉1.dds,756,380,0,0,B
こいし_驚1,data/system/char_def/face/koishi/驚1.dds,756,380,0,0,B
こいし_決1,data/system/char_def/face/koishi/決1.dds,785,365,40,0,C
こいし_選1,data/system/char_def/face/koishi/選1.dds,735,320,0,0,A
こいし_怒1,data/system/char_def/face/koishi/怒1.dds,756,380,0,0,B
こいし_必1,data/system/char_def/face/koishi/必1.dds,785,365,40,0,C
こいし_普1,data/system/char_def/face/koishi/普1.dds,735,320,0,0,A
こいし_普2,data/system/char_def/face/koishi/普2.dds,756,380,0,0,B
こいし_負1,data/system/char_def/face/koishi/負1.dds,756,380,0,0,B
こいし_余1,data/system/char_def/face/koishi/余1.dds,735,320,0,0,A
こいし_惑1,data/system/char_def/face/koishi/惑1.dds,735,320,0,0,A
