key,file_path,balloon_x,balloon_y,base_offset_x,base_offset_y,face_type
type,s,i,i,i,i,s
Ç±Ç±ÇÎ_äæ1,data/system/char_def/face/kokoro/äæ1.dds,720,292,-80,0,B
Ç±Ç±ÇÎ_ä1,data/system/char_def/face/kokoro/ä1.dds,770,249,0,0,C
Ç±Ç±ÇÎ_ã¡1,data/system/char_def/face/kokoro/ã¡1.dds,720,292,-80,0,B
Ç±Ç±ÇÎ_åà1,data/system/char_def/face/kokoro/åà1.dds,746,293,0,0,D
Ç±Ç±ÇÎ_ì{1,data/system/char_def/face/kokoro/ì{1.dds,770,249,0,0,C
Ç±Ç±ÇÎ_ïÅ1,data/system/char_def/face/kokoro/ïÅ1.dds,727,239,0,0,A
Ç±Ç±ÇÎ_ïâ1,data/system/char_def/face/kokoro/ïâ1.dds,738,236,0,0,E
Ç±Ç±ÇÎ_ó]1,data/system/char_def/face/kokoro/ó]1.dds,770,249,0,0,C
Ç±Ç±ÇÎ_òf1,data/system/char_def/face/kokoro/òf1.dds,727,239,0,0,A
