key,file_path,balloon_x,balloon_y,base_offset_x,base_offset_y,face_type
type,s,i,i,i,i,s
マミゾウ_汗1,data/system/char_def/face/mamizou/汗1.dds,735,260,0,0,A
マミゾウ_汗2,data/system/char_def/face/mamizou/汗2.dds,735,260,0,0,A
マミゾウ_嬉1,data/system/char_def/face/mamizou/嬉1.dds,735,260,0,0,A
マミゾウ_嬉2,data/system/char_def/face/mamizou/嬉2.dds,770,290,0,0,B
マミゾウ_驚1,data/system/char_def/face/mamizou/驚1.dds,735,260,0,0,A
マミゾウ_決1,data/system/char_def/face/mamizou/決1.dds,740,270,0,0,C
マミゾウ_選1,data/system/char_def/face/mamizou/選1.dds,735,260,0,0,A
マミゾウ_怒1,data/system/char_def/face/mamizou/怒1.dds,735,260,0,0,A
マミゾウ_必1,data/system/char_def/face/mamizou/必1.dds,740,270,0,0,C
マミゾウ_普1,data/system/char_def/face/mamizou/普1.dds,735,260,0,0,A
マミゾウ_普2,data/system/char_def/face/mamizou/普2.dds,735,260,0,0,A
マミゾウ_普3,data/system/char_def/face/mamizou/普3.dds,770,290,0,0,B
マミゾウ_負1,data/system/char_def/face/mamizou/負1.dds,770,290,0,0,B
マミゾウ_余1,data/system/char_def/face/mamizou/余1.dds,770,290,0,0,B
マミゾウ_惑1,data/system/char_def/face/mamizou/惑1.dds,735,260,0,0,A
