key,file_path,balloon_x,balloon_y,base_offset_x,base_offset_y,face_type
type,s,i,i,i,i,s
神子_汗1,data/system/char_def/face/miko/汗1.dds,800,315,0,0,B
神子_嬉1,data/system/char_def/face/miko/嬉1.dds,735,280,0,0,A
神子_驚1,data/system/char_def/face/miko/驚1.dds,735,280,0,0,A
神子_決1,data/system/char_def/face/miko/決1.dds,780,270,0,0,C
神子_選1,data/system/char_def/face/miko/選1.dds,735,280,0,0,A
神子_怒1,data/system/char_def/face/miko/怒1.dds,735,280,0,0,A
神子_怒2,data/system/char_def/face/miko/怒2.dds,735,280,0,0,A
神子_怒3,data/system/char_def/face/miko/怒3.dds,735,280,0,0,A
神子_必1,data/system/char_def/face/miko/必1.dds,780,270,0,0,C
神子_普1,data/system/char_def/face/miko/普1.dds,735,280,0,0,A
神子_負1,data/system/char_def/face/miko/負1.dds,800,315,0,0,B
神子_負2,data/system/char_def/face/miko/負2.dds,800,315,0,0,B
神子_余1,data/system/char_def/face/miko/余1.dds,735,280,0,0,A
神子_惑1,data/system/char_def/face/miko/惑1.dds,800,315,0,0,B
