key,file_path,balloon_x,balloon_y,base_offset_x,base_offset_y,face_type
type,s,i,i,i,i,s
—ì–²_Š¾1,data/system/char_def/face/reimu/Š¾1.dds,730,295,0,0,B
—ì–²_Šğ1,data/system/char_def/face/reimu/Šğ1.dds,760,285,0,0,A
—ì–²_‹Á1,data/system/char_def/face/reimu/‹Á1.dds,760,285,0,0,A
—ì–²_‹Á2,data/system/char_def/face/reimu/‹Á2.dds,730,295,0,0,B
—ì–²_Œˆ1,data/system/char_def/face/reimu/Œˆ1.dds,920,325,-80,0,C
—ì–²_‘I1,data/system/char_def/face/reimu/‘I1.dds,760,285,0,0,A
—ì–²_“{1,data/system/char_def/face/reimu/“{1.dds,730,295,0,0,B
—ì–²_“{2,data/system/char_def/face/reimu/“{2.dds,730,295,0,0,B
—ì–²_•K1,data/system/char_def/face/reimu/•K1.dds,920,325,-80,0,C
—ì–²_•1,data/system/char_def/face/reimu/•1.dds,760,285,0,0,A
—ì–²_•2,data/system/char_def/face/reimu/•2.dds,730,295,0,0,B
—ì–²_•‰1,data/system/char_def/face/reimu/•‰1.dds,760,285,0,0,A
—ì–²_—]1,data/system/char_def/face/reimu/—]1.dds,730,295,0,0,B
—ì–²_˜f1,data/system/char_def/face/reimu/˜f1.dds,760,285,0,0,A
