キャラクター,ファイル名,グループ,,
0,common_1.dds,1,,霊夢
0,common_2.dds,1,,
0,common_3.dds,1,,
0,reimu_1.dds,2,,
0,reimu_2.dds,2,,
0,reimu_3.dds,3,,
0,reimu_4.dds,4,,
0,reimu_5.dds,5,,
0,reimu_6.dds,6,,
1,common_1.dds,1,,魔理沙
1,common_2.dds,1,,
1,common_3.dds,1,,
1,marisa_1.dds,2,,
1,marisa_2.dds,2,,
1,marisa_3.dds,3,,
1,marisa_4.dds,4,,
1,marisa_5.dds,5,,
1,marisa_6.dds,6,,
1,marisa_7.dds,7,,
2,common_1.dds,1,,一輪
2,common_2.dds,1,,
2,common_3.dds,1,,
2,ichirin_1.dds,2,,
2,ichirin_2.dds,2,,
2,ichirin_3.dds,3,,
2,ichirin_4.dds,4,,
2,ichirin_6.dds,6,,
2,ichirin_7.dds,7,,
3,common_1.dds,1,,聖
3,common_2.dds,1,,
3,common_3.dds,1,,
3,hijiri_1.dds,2,,
3,hijiri_2.dds,2,,
3,hijiri_3.dds,3,,
3,hijiri_4.dds,4,,
3,hijiri_6.dds,6,,
3,hijiri_7.dds,7,,
4,common_1.dds,1,,布都
4,common_2.dds,1,,
4,common_3.dds,1,,
4,futo_1.dds,2,,
4,futo_2.dds,2,,
4,futo_3.dds,3,,
4,futo_4.dds,4,,
4,futo_5.dds,5,,
4,futo_7.dds,7,,
5,common_1.dds,1,,神子
5,common_2.dds,1,,
5,common_3.dds,1,,
5,miko_1.dds,2,,
5,miko_2.dds,2,,
5,miko_3.dds,3,,
5,miko_4.dds,4,,
5,miko_5.dds,5,,
5,miko_7.dds,7,,
6,common_1.dds,1,,にとり
6,common_2.dds,1,,
6,common_3.dds,1,,
6,nitori_1.dds,2,,
6,nitori_2.dds,2,,
6,nitori_3.dds,3,,
6,nitori_4.dds,4,,
7,common_1.dds,1,,こいし
7,common_2.dds,1,,
7,common_3.dds,1,,
7,koishi_1.dds,2,,
7,koishi_2.dds,2,,
7,koishi_5.dds,5,,
7,koishi_6.dds,6,,
7,koishi_7.dds,7,,
8,common_1.dds,1,,マミゾウ
8,common_2.dds,1,,
8,common_3.dds,1,,
8,mamizou_1.dds,2,,
8,mamizou_2.dds,2,,
8,mamizou_3.dds,3,,
8,mamizou_4.dds,4,,
9,common_1.dds,1,,こころ
9,common_2.dds,1,,
9,common_3.dds,1,,
9,kokoro_1.dds,2,,
9,kokoro_2.dds,2,,
9,kokoro_3.dds,3,,
9,kokoro_4.dds,4,,
9,kokoro_5.dds,5,,
9,kokoro_6.dds,6,,
9,kokoro_7.dds,7,,
