key,name0,face0,balloon0,message0,name1,face1,balloon1,message1,name2,face2,balloon2,message2
type,string,string,string,string,string,string,string,string,string,string,string,string
common1,布都,普3,0,まだまだだな\n我の術も\,,,,,,,,
common2,布都,必1,0,お主を倒すなど\n皿を割るより簡単だ\,,,,,,,,
,,,,,,,,,,,,
reimu1,布都,普1,0,そうか\nこれが戦闘巫女か\,,,,,,,,
reimu2,布都,余1,0,別に神社は嫌いではない\n共存していこうぞ\,,,,,,,,
,,,,,,,,,,,,
marisa1,布都,惑1,0,魔法……？\n今更だがどういう原理だ？\,,,,,,,,
marisa2,布都,驚1,0,おっと\n今　人の皿をくすねただろ？\,,,,,,,,
,,,,,,,,,,,,
ichirin1,布都,怒1,0,入道の僧侶か……\n入道とはそもそも出家を意味して\nいて……ええいややこしい！\,,,,,,,,
ichirin2,布都,普2,0,弱いものほど体を大きく\n見せるものだ\,,,,,,,,
,,,,,,,,,,,,
hijiri1,布都,余1,0,昔の尼はちゃんと剃髪していたぞ？\,,,,,,,,
hijiri2,布都,嬉1,0,この程度が現在の仏教なら\n恐るるに足らず\,,,,,,,,
,,,,,,,,,,,,
futo1,布都,驚1,0,狐狸妖怪の仕業か？\,,,,,,,,
,,,,,,,,,,,,
miko1,布都,普1,0,ここで争うことは我々の為に\nなるのでしょうか？\,,,,,,,,
,,,,,,,,,,,,
nitori1,布都,驚1,0,あ　それは頭の皿だったな\n割るところだったよ\n失敬失敬\,,,,,,,,
nitori2,布都,普1,0,そうだ河童と言えば\,,普1,,腕の傷を治す薬も持ってる筈だ\nどうだ　少し分けてくれんか？\,,,,
,,,,,,,,,,,,
koishi1,布都,惑1,0,不思議な奴だ\nまるで一人で修業しているかの\nようだったよ\,,,,,,,,
koishi2,布都,必1,0,例え動きが読めなくても\n完全に罠をはれば怖くはない！\,,,,,,,,
,,,,,,,,,,,,
mamizou1,布都,普2,0,尻尾が見えてるぞ？\,,,,,,,,
mamizou2,布都,惑1,0,最近の狸はハイカラだな\n服を着て飛んでいるとは\,,,,,,,,
,,,,,,,,,,,,
kokoro1,布都,普1,0,お面は感情を集めやすい\n舞台用ならなおさらだな\,,,,,,,,
kokoro2,布都,汗1,0,六十六個もあったら失敗作も\nあるんだろうなぁ\n見てみたいなぁ\,,,,,,,,
