key,name0,face0,balloon0,message0,name1,face1,balloon1,message1,name2,face2,balloon2,message2
type,string,string,string,string,string,string,string,string,string,string,string,string
common1,こころ,嬉1,0,わーい勝っちゃった\nこれが喜びの表情\,,,,,,,,
common2,こころ,怒1,0,話にもならぬわ！\nこれが怒りの表情\,,,,,,,,
common3,こころ,惑1,0,弱すぎてつまんない……\nこれが哀しみの表情\,,,,,,,,
common4,こころ,余1,0,ねえねえ　またやろ♪\nこれが楽しみの表情\,,,,,,,,
common5,こころ,驚1,0,弱い！　弱すぎる！\nこれが驚きの表情\,,,,,,,,
,,,,,,,,,,,,
reimu1,こころ,普1,0,貴方程度の希望では\n満たされないの\,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
marisa1,こころ,余1,0,ねえねえ\nこれが肘鉄する時の表情\,,,,,,,,
,,,,,,,,,,,,
ichirin1,こころ,普1,0,ねえねえ\nこれが仏像のまねする表情ー\,,,,,,,,
,,,,,,,,,,,,
hijiri1,こころ,怒1,0,そうかー\n感情を自由に制御しないとねー\,,,,,,,,
,,,,,,,,,,,,
futo1,こころ,驚1,0,ねえねえ\nこれが皿回しのまねする表情ー\,,,,,,,,
,,,,,,,,,,,,
miko1,こころ,惑1,0,新しい希望の面……\nあんまり被りたくないな\,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
nitori1,こころ,普1,0,あの屋台に並んでいるお面って\nどうやって作ってるの？\,,,,,,,,
,,,,,,,,,,,,
koishi1,こころ,決1,0,見つけたぞ！\n私の宿敵よ！\,,,,,,,,
koishi1,こころ,決1,0,返せったらぁ\n……しかしまあ\,,普1,,もう新しいお面も貰ったから\n本当は要らないんだけどね\,,,,
,,,,,,,,,,,,
mamizou1,こころ,決1,0,ねえねえ\nこれが狸のまねする表情ー\,,,,,,,,
,,,,,,,,,,,,
kokoro1,こころ,普1,0,何だ何だ？\nこういう時は\nどういう表情が……\,,,,,,,,
