key,name0,face0,balloon0,message0,name1,face1,balloon1,message1,name2,face2,balloon2,message2
type,string,string,string,string,string,string,string,string,string,string,string,string
common1,魔理沙,普1,0,何が宗教大戦だ\n私をはぶにするなよ\,,,,,,,,
common2,魔理沙,嬉1,0,お前の手は全て見切ったぜ\,,,,,,,,
reimu1,魔理沙,決1,0,今日は楽勝だ\nまあ　お前の技は見慣れてるしな\,,,,,,,,
reimu2,魔理沙,普1,0,そうそう\nちょっと相談が……\,,惑1,,私のミニ八卦炉なんだが……\nいやいいや\n辞めとこう\,,,,
,,,,,,,,,,,,
marisa1,魔理沙,驚1,0,はっ\n私は一体何と闘っていたんだ？\,,,,,,,,
,,,,,,,,,,,,
ichirin1,魔理沙,決1,0,見越入道見過ごしたぜ！\,,,,,,,,
ichirin2,魔理沙,嬉1,0,坊主弱けりゃ袈裟まで弱いっと\,,,,,,,,
,,,,,,,,,,,,
hijiri1,魔理沙,余1,0,念仏で強くなるなら\nいくらでも唱えるぜ\,,,,,,,,
hijiri2,魔理沙,惑1,0,お前の周りは抹香臭くて\nつまらんな\,,,,,,,,
,,,,,,,,,,,,
futo1,魔理沙,普1,0,そろそろ今風に合わせた方が\n良くないか？\n口調をさ\,,,,,,,,
futo2,魔理沙,嬉1,0,皿回しでもやった方が\n人気取れるんじゃ無いか？\,,,,,,,,
,,,,,,,,,,,,
miko1,魔理沙,普1,0,不老不死か……\nほう\,,,,,,,,
miko2,魔理沙,惑1,0,タオってのは\n魔法と何が違うんだ？\,,,,,,,,
,,,,,,,,,,,,
nitori1,魔理沙,普1,0,そのリュック……\n重そうだな\,,,,,,,,
nitori2,魔理沙,選1,0,そうそう……\,,普1,,今年のバザーはまだか？\nお面とか出るんだろ？\,,,,
,,,,,,,,,,,,
koishi1,魔理沙,惑1,0,気が付いたら闘っていたぜ\n何を言ってるのか判らねぇと……\,,,,,,,,
,,,,,,,,,,,,
mamizou1,魔理沙,余1,0,いくら私に化けても\n獣臭さは抜けてないぜ\,,,,,,,,
,,,,,,,,,,,,
kokoro1,魔理沙,汗1,0,六十六もお面があるのか\,,,,,,,,
kokoro2,魔理沙,惑2,0,能……って何だよ\nただのトロい踊りじゃ無いか\,,,,,,,,
