key,name0,face0,balloon0,message0,name1,face1,balloon1,message1,name2,face2,balloon2,message2
type,string,string,string,string,string,string,string,string,string,string,string,string
common1,にとり,選1,0,お祭り騒ぎに踊らされてる奴\nなんてただのカモだ\,,,,,,,,
common2,にとり,汗1,0,何でみんな盛り上がってるんだ？\nみんな程度が低いな\,,,,,,,,
,,,,,,,,,,,,
reimu1,にとり,普2,0,神様が妖怪を救うわけが\n無いじゃん\,,,,,,,,
reimu2,にとり,嬉1,0,弱いじゃん\n何で偉そうにしてんのさ\,,,,,,,,
,,,,,,,,,,,,
marisa1,にとり,嬉1,0,おや魔理沙さん\n今日は何を買って行きます？\,,,,,,,,
marisa2,にとり,決1,0,新しい箒いります？\n三十年前から変わらぬ値段です\,,,,,,,,
,,,,,,,,,,,,
ichirin1,にとり,汗1,0,妖怪の癖になんで\n仏教なんかに？\,,,,,,,,
ichirin2,にとり,普1,0,妖怪化する僧侶は多いけど……\,,嬉1,,やっぱり仏教ってのは\n人間を辞めるためにあるんよね\,,,,
,,,,,,,,,,,,
hijiri1,にとり,嬉1,0,ああ　お香でも売れば良いのか\nその辺の流木を乾かして\,,,,,,,,
,,,,,,,,,,,,
futo1,にとり,驚1,0,割れても元に戻るお皿か……\n必要は発明の母\,,,,,,,,
,,,,,,,,,,,,
miko1,にとり,選1,0,あんたの政策も\nメンテが必要だね！\,,,,,,,,
miko2,にとり,余1,0,ねえねえ\n道教の信者には何が売れるの？\,,,,,,,,
,,,,,,,,,,,,
nitori1,にとり,普1,0,今のはコピーパペットだ！\,,,,,,,,
nitori2,にとり,普1,0,今のは三蔵だ！\,,,,,,,,
,,,,,,,,,,,,
koishi1,にとり,普1,0,え？　このバールが欲しいって？\n残念　これはバールのような物！\,,,,,,,,
koishi2,にとり,選1,0,え？　このスパナが欲しいって？\nいくら出せるの？\,,,,,,,,
,,,,,,,,,,,,
mamizou1,にとり,驚1,0,何だって？\n外の世界の機械は水に弱いって？\nそんな馬鹿な\,,,,,,,,
mamizou2,にとり,普1,0,アレだぞ？\,,普2,,外の世界でいくら有名でも\nここで大きな顔してると\nいつか痛い目に遭うよ\,,,,
kokoro1,にとり,嬉1,0,新しいお面が手に入りましたよ\nどれにします？\,,,,,,,,
