key,name0,face0,balloon0,message0,name1,face1,balloon1,message1,name2,face2,balloon2,message2
type,string,string,string,string,string,string,string,string,string,string,string,string
common1,聖,決1,0,決闘も方便！\,,,,,,,,
common2,聖,選1,0,げに何事も一炊の夢\n南無三宝\,,,,,,,,
,,,,,,,,,,,,
reimu1,聖,普1,0,まだまだですね\n敗因は貴方の経験不足です\,,,,,,,,
reimu2,聖,汗1,0,八百万もいたら\nそりゃ喧嘩もしますよ\,,,,,,,,
,,,,,,,,,,,,
marisa1,聖,余1,0,戒名は何が良いですか？\n格安で考えておきますよ\,,,,,,,,
,,,,,,,,,,,,
ichirin1,聖,惑1,0,まだまだ雑念が多いわね\,,,,,,,,
,,,,,,,,,,,,
hijiri1,聖,普1,0,長く生きていると\n不思議な事もあるもんです\,,,,,,,,
,,,,,,,,,,,,
futo1,聖,普1,0,私のお寺は完全防火仕様です\,,,,,,,,
futo2,聖,普1,0,そういえば\,,,,仏像を焚いたことがあるって？\n仏罰で苦しむが良い！\,,,,
miko1,聖,普1,0,まあ任せてくださいな\n幻想郷の事は\,,,,,,,,
miko2,聖,普1,0,貴方からは禍々しい気を\n感じるのよねぇ\,,,,,,,,
miko3,聖,惑1,0,うーん\,,普1,,確かに仏教が一番\n人を操るのに向いているのよね\,,,,
,,,,,,,,,,,,
nitori1,聖,汗1,0,あのー\nまた苦情が……\,,,,,,,,
nitori2,聖,普1,0,河童は人数多いし独自の\nコミュニティを築いているので\n布教したいのですが……\,,,,,,,,
,,,,,,,,,,,,
koishi1,聖,惑1,0,貴方は何故この決闘に\n参加しているのです？\,,,,,,,,
,,,,,,,,,,,,
mamizou1,聖,嬉1,0,茶釜に変身しても良いんですよ？\n永遠に\,,,,,,,,
,,,,,,,,,,,,
kokoro1,聖,決1,0,感情に呑み込まれるなかれ！\,,,,,,,,
kokoro2,聖,惑1,0,貴方をただの道具に戻すのは\n簡単なのですが……\,,,,,,,,
