key,name0,face0,balloon0,message0,name1,face1,balloon1,message1,name2,face2,balloon2,message2
type,string,string,string,string,string,string,string,string,string,string,string,string
common1,一輪,決1,0,悔い改めよ！\,,,,,,,,
common2,一輪,驚1,0,えっ？なになに？\n弱いものイジメは嫌だ？\n雲山は手ぬるいね\,,,,,,,,
reimu1,一輪,嬉1,0,巫女を制すれば\nこの宗教戦争は勝ったも同然\,,,,,,,,
reimu2,一輪,普2,0,さあ　倒した妖怪の数を数えよ！\nそれがお前が落ちる\n地獄の深さだ！\,,,,,,,,
marisa1,一輪,余1,0,はーい\n出家にごあんなーい\,,,,,,,,
marisa2,一輪,余3,0,在家でも仏教始められるよん\,,,,,,,,
ichirin1,一輪,惑1,0,……狸か狐に化かされた？\,,,,,,,,
,,,,,,,,,,,,
hijiri1,一輪,普2,0,おつとめ\n有難うございます\,,,,,,,,
hijiri2,一輪,普2,0,聖様はどうお考えですか？\,,惑1,,呑んでは行けないという\n仏教の教えについて\,,,,
futo1,一輪,普2,0,仏教の敵か……\nそんな悪意のある教えでは\n無いのに　何故だろう\,,,,,,,,
futo2,一輪,余2,0,皿の後片付けはやっておいてね！\,,,,,,,,
miko1,一輪,余3,0,宇宙の真理を自分の為のみに\n使うなんて邪教だね\,,,,,,,,
,,,,,,,,,,,,
nitori1,一輪,余1,0,お寺に入れば胡瓜だけで\n生きられるようになる\,,,,,,,,
,,,,,,,,,,,,
koishi1,一輪,惑1,0,まさか……\n無我の境地とは……\,,,,,,,,
,,,,,,,,,,,,
mamizou1,一輪,嬉1,0,貴方って鵺さんのご友人\nなんですね\,,,,,,,,
mamizou2,一輪,汗1,0,雲山の真似はしないんですか？\,,,,,,,,
kokoro1,一輪,汗1,0,モンキーポゼッション……\n何それ\,,,,,,,,
kokoro2,一輪,普1,0,お面って臭くならないんですか？\,,,,,,,,
