key,name0,face0,balloon0,message0,name1,face1,balloon1,message1,name2,face2,balloon2,message2
type,string,string,string,string,string,string,string,string,string,string,string,string
common1,こいし,惑1,0,あれー？\nあっけないのね\,,,,,,,,
common2,こいし,嬉1,0,もっと本能で\n闘えば良いのよ\,,,,,,,,
common3,こいし,必1,0,誰しも子供の時にね\,,決1,,大人には気付かれない\n友達っていたでしょ？\nうふふ\,,,,
,,,,,,,,,,,,
reimu1,こいし,怒1,0,神社に行っても誰も\n私に気付かないのよね\,,,,,,,,
reimu2,こいし,嬉1,0,お賽銭ドロボウでも\nしちゃおうっと\,,,,,,,,
marisa1,こいし,普2,0,貴方って何処に住んでるの？\n育ちが悪そうだけどー\,,,,,,,,
marisa2,こいし,嬉1,0,帽子　とっかえっこしない？\,,,,,,,,
,,,,,,,,,,,,
ichirin1,こいし,惑1,0,あれー？\n貴方前まで旧地獄にいたでしょ？\nもう出所したのねー\,,,,,,,,
,,,,,,,,,,,,
hijiri1,こいし,嬉1,0,私も出家してみたいー\nどうすればいいの？\,,,,,,,,
hijiri2,こいし,必1,0,そうそう貴方のお寺に\n水蜜って奴いるでしょ？\,,決1,,あの子\n血の池地獄だと溺れるんだよ\n知ってた？\,,,,
,,,,,,,,,,,,
futo1,こいし,余1,0,お皿かー\n目を瞑っても全部踏み抜ける\n自信があるわ\,,,,,,,,
,,,,,,,,,,,,
miko1,こいし,嬉1,0,不老不死って言ったって\nどうせ死ぬんでしょ？\nみんなそうだもん\,,,,,,,,
miko2,こいし,惑1,0,何で耳を塞いでいるの？\n寒いの？\,,,,,,,,
,,,,,,,,,,,,
nitori1,こいし,普1,0,河童なら地底にもいるけど\nもっと凄みがあるよ\,,,,,,,,
nitori2,こいし,普2,0,ねー雑貨屋さーん\nその長靴が欲しいなー\,,,,,,,,
,,,,,,,,,,,,
koishi1,こいし,嬉1,0,お主も悪よのう♪\,,,,,,,,
,,,,,,,,,,,,
mamizou1,こいし,普2,0,狸と狐って仲が悪いんでしょう？\nどっちが美味しいの？\,,,,,,,,
,,,,,,,,,,,,
kokoro1,こいし,嬉1,0,私のもんだもーん\,,,,,,,,
kokoro2,こいし,怒1,0,私にも怒りの表情を下さいな\,,,,,,,,
