key,name0,face0,balloon0,message0,name1,face1,balloon1,message1,name2,face2,balloon2,message2
type,string,string,string,string,string,string,string,string,string,string,string,string
common1,マミゾウ,余1,0,まだまだじゃな\,,,,,,,,
common2,マミゾウ,嬉2,0,今日のところは\nこの位にしておいてやるぞい\,,,,,,,,
common3,マミゾウ,嬉1,0,『今日のところは\n　この位にしておいてやるぞい』\,,選1,,これは勝った時に使う言葉じゃ\n逃げる時に使うなよ？\,,,,
,,,,,,,,,,,,
reimu1,マミゾウ,普1,0,お前さんに変化するのは簡単じゃ\n何となく狸っぽいし\,,,,,,,,
reimu2,マミゾウ,余1,0,葉っぱのお金は便利じゃぞ？\n賽銭でも何でも使えるわい\,,,,,,,,
,,,,,,,,,,,,
marisa1,マミゾウ,怒1,0,この間　狸捕まえてたじゃろ？\n狸鍋かい？\,,,,,,,,
marisa2,マミゾウ,嬉2,0,外の世界にも魔法使いが\n沢山いるぞい\,,,,,,,,
,,,,,,,,,,,,
ichirin1,マミゾウ,汗1,0,入道に化けるのは\n簡単じゃないて\,,,,,,,,
ichirin2,マミゾウ,普1,0,肉を食べんから弱いんじゃ\,,,,,,,,
,,,,,,,,,,,,
hijiri1,マミゾウ,普3,0,そうじゃ\n今度は寺の看板を賭けて\n闘わないかい？\,,,,,,,,
,,,,,,,,,,,,
futo1,マミゾウ,余1,0,風水は自然の力を利用するもの\nだが　儂らは自然を超越する力を\n持つんじゃ\,,,,,,,,
futo2,マミゾウ,余1,0,日本中に烏帽子の名前が付く\n地名があるんじゃが\n知ってるかい？\,,,,,,,,
,,,,,,,,,,,,
miko1,マミゾウ,余1,0,仙人とて人間は人間\n騙され方は一緒じゃのう\,,,,,,,,
miko2,マミゾウ,普3,0,腰の剣は飾りかい？\n何やら値打ちもんの匂いが\nするぞい\,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
nitori1,マミゾウ,驚1,0,そのプロペラの設計じゃ\n体が廻ってしまうじゃろ？\nどうなってるんじゃ？\,,,,,,,,
nitori2,マミゾウ,余1,0,動力は何じゃ？\n電力か？　蒸気か？\nそれとも未知の……\,,,,,,,,
,,,,,,,,,,,,
koishi1,マミゾウ,汗2,0,サトリ……か\nお前さんを化かすのは\n簡単にはいかないなぁ\,,,,,,,,
koishi2,マミゾウ,驚1,0,なんじゃ\nお前さん心を読めないのか\,,汗1,,心の読めないサトリなんて\n人間に化けられない狸みたいな\nもんじゃ\,,,,
,,,,,,,,,,,,
mamizou1,マミゾウ,汗1,0,いかんいかん\nどっちが本物か判らなくなるぞい\,,,,,,,,
,,,,,,,,,,,,
kokoro1,マミゾウ,惑1,0,何じゃ　狐や猿の面が多いが\n狸の面は無いのか？\,,,,,,,,
kokoro2,マミゾウ,驚1,0,お　狸の面もあるじゃ無いか\n……どれどれ何の感情じゃ？\,,汗1,,『悪徳詐欺をする時の表情』\n……ほほう\,,,,
