key,name0,face0,balloon0,message0,name1,face1,balloon1,message1,name2,face2,balloon2,message2
type,string,string,string,string,string,string,string,string,string,string,string,string
common1,神子,決1,0,和を以て貴しとなす\n以後私には逆らわぬ事だ\,,,,,,,,
common2,神子,選1,0,まさか\n今のが本気だとは言わないよな？\,,,,,,,,
,,,,,,,,,,,,
reimu1,神子,普1,0,もう休め\n今回の事件は君には荷が重すぎる\,,,,,,,,
reimu2,神子,嬉1,0,そもそも巫女が布教活動する\nってのがおかしいのです\,,,,,,,,
,,,,,,,,,,,,
marisa1,神子,惑1,0,中々見所がある\n弟子にならないか？\,,,,,,,,
marisa2,神子,驚1,0,驚いた\nお前のその道具……\,,,,八卦炉じゃ無いか\n丹を錬るのに使うという……\,,,,
,,,,,,,,,,,,
ichirin1,神子,怒1,0,そちらの御仁は喋らないのかな？\,,,,,,,,
ichirin2,神子,余1,0,さしずめ\n墓場の娘に大目玉オヤジ……\nってところか\,,,,,,,,
,,,,,,,,,,,,
hijiri1,神子,汗1,0,仏教だから物理攻撃とは\n安直すぎないかい？\,,,,,,,,
hijiri2,神子,決1,0,幻想郷の平穏は私に任せよ\n人心の掌握は得意分野である\,,,,,,,,
,,,,,,,,,,,,
futo1,神子,決1,0,まだまだだな\nもっと修業せい\,,,,,,,,
futo2,神子,汗1,0,皿の代金も馬鹿にならん\,,,,,,,,
,,,,,,,,,,,,
miko1,神子,普1,0,自分を見つめ直すのも\n修行の一つ\,,,,,,,,
,,,,,,,,,,,,
nitori1,神子,驚1,0,今の河童は色んな\n道具を作れるのだな\,,,,,,,,
nitori2,神子,嬉1,0,世間の流行に興味ないフリして…\n私には判るぞ\n素直に楽しめない不器用な心が\,,,,,,,,
,,,,,,,,,,,,
koishi1,神子,普1,0,判らぬ\n君は何の為に闘っている\nというのだ？\,,,,,,,,
,,,,,,,,,,,,
mamizou1,神子,驚1,0,佐渡の国から来ただと？\nその国は何処にあるんだ？\,,,,,,,,
mamizou2,神子,決1,0,狸も長年生きれば\n強い妖怪になるのだな\,,,,,,,,
,,,,,,,,,,,,
kokoro1,神子,普1,0,新しいお面は馴染んだかい？\,,,,,,,,
kokoro2,神子,汗1,0,まさか私が作ったお面が\n未来でこんな事になるとは……\,,嬉1,,そういえば習作もあったから\nこっそり換えておこう\,,,,
