key,name0,face0,balloon0,message0,name1,face1,balloon1,message1,name2,face2,balloon2,message2
type,string,string,string,string,string,string,string,string,string,string,string,string
common1,霊夢,嬉1,0,やっぱり神々の力が最強ね\,,,,,,,,
common2,霊夢,嬉1,0,これで参拝客が増えるといいな\,,,,,,,,
reimu1,霊夢,汗1,0,あんた誰？\,,,,,,,,
reimu2,霊夢,怒1,0,まさか化け狸？\,,,,,,,,
marisa1,霊夢,決1,0,妖怪退治も私に任せてよ\,,,,,,,,
marisa2,霊夢,汗1,0,あんた、宗教家でも\nなんでもないでしょ？\,,,,,,,,
ichirin1,霊夢,決1,0,妖怪にも仏教にも\n負ける訳にいかない！\,,,,,,,,
ichirin2,霊夢,嬉1,0,そっちのオヤジさんも\n何か言ったらどう？\,,,,,,,,
hijiri1,霊夢,決1,0,お酒を呑まない仏教に負ける\n訳にはいかないわ\,,,,,,,,
hijiri2,霊夢,惑1,0,その巻物……\n何て書いてあるの？\,,,,,,,,
futo1,霊夢,必1,0,お皿を無駄にしないの！\,,,,,,,,
futo2,霊夢,普2,0,聞いたわよ\,霊夢,普2,0,あんたのご先祖様って\R[邇藝速日命|ニギハヤヒノミコト]\nなんですって？\,,,,
miko1,霊夢,嬉1,0,そんな自分勝手な\n宗教には負けない！\,,,,,,,,
miko2,霊夢,普2,0,ところでさ……\,霊夢,惑1,0,やっぱ変だよね\n観客の様子\,,,,何か聞いてない？\
nitori1,霊夢,普2,0,お祭り騒ぎに便乗して\nあくどい商売してるのね\,,,,,,,,
koishi1,霊夢,惑1,0,あれ？\n誰と闘ってたんだっけ？\,,,,,,,,
mamizou1,霊夢,決1,0,化けの皮が剥がれたわね！\,,,,,,,,
mamizou2,霊夢,汗1,0,私に化けるのやめてくれない？\n似てないし……\,,,,,,,,
kokoro1,霊夢,汗1,0,あんたのお面、怖いよ\,,,,,,,,
kokoro2,霊夢,普2,0,結局見つかったの？\,霊夢,惑1,0,本物の希望のお面\nどんな顔してるのかしら？\,,,,
