key,name,path,path2,line,volume,track_no,title,author,comment
type,string,string,string,integer,integer,integer,string,string,string
4,,data\bgm\title.ogg,,1,90,1,心揺さぶる都市伝説,あきやまうに,
5,,data\bgm\select.ogg,,1,90,2,幻想郷ふしぎ発見,あきやまうに,
701,,data\bgm\ta01.ogg,,1,90,4,顕現した伝承の形,あきやまうに,
702,,data\bgm\ta02.ogg,,1,90,3,ボールのある日常,あきやまうに,
703,,data\bgm\ta03.ogg,,1,90,6,価値がわからない,あきやまうに,
704,,data\bgm\ta04.ogg,,1,90,5,時代の風の訪れ,あきやまうに,
705,,data\bgm\ta05.ogg,,1,90,8,真実を知る者,あきやまうに,
706,,data\bgm\ta06.ogg,,1,90,7,可能性を信じて,あきやまうに,
707,,data\bgm\ta07.ogg,,1,90,9,外界フォークロア,あきやまうに,
8,,data\bgm\ed.ogg,,1,90,10,各々の結末,あきやまうに,
9,,data\bgm\staffroll.ogg,,1,100,11,明かされる深秘,あきやまうに,
501,,data\bgm\st01_1.ogg,,2,100,13,七玉蒐集ショウダウン,あきやまうに,
502,,data\bgm\st02_1.ogg,,2,100,12,オカルトアラカルト,あきやまうに,
503,,data\bgm\st03_1.ogg,,2,100,14,公正なる奪い合い,あきやまうに,
504,,data\bgm\st04_1.ogg,,2,100,15,対蹠地の鐘,あきやまうに,
505,,data\bgm\st05_1.ogg,,2,100,16,竹林インフレイム,あきやまうに,
511,,data\bgm\usami1.ogg,,2,100,18,ラストオカルティズム　～ 現し世の秘術師,ZUN,
512,,data\bgm\kasen1.ogg,,2,100,17,華狭間のバトルフィールド,ZUN,
801,,data\bgm\reimu1.ogg,,0,100,19,二色蓮花蝶 ～ Red and White,コンプ(豚乙女),
802,,data\bgm\marisa1.ogg,,0,100,20,恋色マスタースパーク,oiko,
803,,data\bgm\ichirin1.ogg,,0,100,21,時代親父とハイカラ少女,しゃばだば(Sound CYCLONE),
804,,data\bgm\hijiri1.ogg,,0,100,22,感情の摩天楼　～ Cosmic Mind,NYO(Silver Forest),
805,,data\bgm\futo1.ogg,,0,100,23,大神神話伝,鯛の小骨,
806,,data\bgm\miko1.ogg,,0,100,24,聖徳伝説　～ True Administrator,鷹(CROW'SCLAW),
807,,data\bgm\nitori1.ogg,,0,100,25,芥川龍之介の河童  ～ Candid Friend,ゆうゆ,
808,,data\bgm\koishi1.ogg,,0,100,26,ハルトマンの妖怪少女,岸田(岸田教団),
809,,data\bgm\mamizou1.ogg,,0,100,27,幻想郷の二ッ岩,秀三(石鹸屋),
810,,data\bgm\kokoro1.ogg,,0,100,28,亡失のエモーション,どぶウサギ,
811,,data\bgm\mokou1.ogg,,0,100,29,月まで届け、不死の煙,ziki_7,
812,,data\bgm\sinmyoumaru1.ogg,,0,100,30,輝く針の小人族　～ Little Princess,あきやまうに,
821,,data\bgm\reimu2.ogg,,0,100,-1,二色蓮花蝶 ～ Red and White,20秒版,
822,,data\bgm\marisa2.ogg,,0,100,-1,恋色マスタースパーク,20秒版,
823,,data\bgm\ichirin2.ogg,,0,100,-1,時代親父とハイカラ少女,20秒版,
824,,data\bgm\hijiri2.ogg,,0,100,-1,感情の摩天楼　～ Cosmic Mind,20秒版,
825,,data\bgm\futo2.ogg,,0,100,-1,大神神話伝,20秒版,
826,,data\bgm\miko2.ogg,,0,100,-1,聖徳伝説　～ True Administrator,20秒版,
827,,data\bgm\nitori2.ogg,,0,100,-1,芥川龍之介の河童  ～ Candid Friend,20秒版,
828,,data\bgm\koishi2.ogg,,0,100,-1,ハルトマンの妖怪少女,20秒版,
829,,data\bgm\mamizou2.ogg,,0,100,-1,幻想郷の二ッ岩,20秒版,
830,,data\bgm\kokoro2.ogg,,0,100,-1,亡失のエモーション,20秒版,
831,,data\bgm\mokou2.ogg,,0,100,-1,月まで届け、不死の煙,20秒版,
832,,data\bgm\sinmyoumaru2.ogg,,0,100,-1,輝く針の小人族　～ Little Princess,20秒版,
521,,data\bgm\st01_2.ogg,,0,100,-1,七玉蒐集ショウダウン,20秒版,
522,,data\bgm\st02_2.ogg,,0,100,-1,オカルトアラカルト,20秒版,
523,,data\bgm\st03_2.ogg,,0,100,-1,公正なる奪い合い,20秒版,
524,,data\bgm\st04_2.ogg,,0,100,-1,対蹠地の鐘,20秒版,
525,,data\bgm\st05_2.ogg,,0,100,-1,竹林インフレイム,20秒版,
531,,data\bgm\usami2.ogg,,0,100,-1,ラストオカルティズム　～ 現し世の秘術師,20秒版,
532,,data\bgm\kasen1.ogg,,0,100,-1,華狭間のバトルフィールド,20秒版,
603,,data\bgm\ta13.ogg,,1,80,-1,SE,,
604,,data\bgm\ta14.ogg,,1,90,-1,SE,,
