key,id,name,lock,icon,init,func,type,rushType,command,cancel,mana,sp,useCount,faith_S,faith_D,faith_B,info
type,i,s,i,s,s,s,i,i,i,i,i,i,i,i,i,i,s
-0,5000,風の凶穴,0,futo000,SP_A_Init,,0,1,1,60,200,0,-1,0,0,1,設置済みの皿へ移動し、周囲を旋風で乱打\nスロットで使用する皿の順を新旧で選択可能\n規則正しい片付けの儀式である
-0,5001,貴竜の矢,0,futo001,SP_B_Init,,0,2,1,60,300,0,-1,1,0,0,上空に向けて矢を射る射撃\n狙える範囲に皿があるとそれへ向けて放ち\n命中した矢は跳ね返ると同時に\n無数に分離して敵へと襲い掛かる\n\nいちいち的を用意した上、天から当てると\nまわりくどい内容だが、儀式とは\n面倒で周りくどいほど効果的なのが常である
-0,5002,抱水皿,0,futo002,SP_C_Init,,0,3,1,60,200,0,-1,0,1,0,設置した皿をへと周辺の水気の流れを集め\n大量の水を相手に引っ掛ける\n近くの皿全てが反応するため、配置で\n水流は非常に強力となる\n\n水は効く妖怪にはとことん効果的だし\n放火の後始末にも最適である
-0,5003,天の磐舟,0,futo003,SP_D_Init,,0,3,1,60,400,0,-1,0,0,1,天駆ける船を呼び出し豪快に突っ込む\n設置済みの皿が別にある場合\n再入力で船を乗り換えていける\n見ての通り材料は皿なので\n素焼きの物を使うと水に浮かばない\n泥船が完成してしまう\n\n狸辺りには効果的かもしれない
-0,5004,六壬神火,0,futo004,SP_E_Init,,0,4,1,60,400,0,-1,1,0,0,火気の流れを集め、火を放つ\n火は設置された皿をつなぐ道に沿って流れ\n経路上の皿は爆ぜて炎上する\n\n緻密な配置で使用すれば遠隔地から放火も\n容易であるが、仕掛けが目立つのが難
-0,5005,立向坐山,0,futo005,SP_F_Init,,0,6,1,60,400,0,-1,0,1,0,地中の龍脈を引き寄せ\n地形の隆起で周囲を吹き飛ばす\n動かざる物の操作は風水の十八番だが\n大きな変化は長く維持ができず\n大地はすぐに有るべき姿へ戻る
-,5006,合局風,0,futo006,SP_G_Init,,0,1,1,60,300,0,-1,1,0,0,皿を吸引する風の渦を引き起こす\n渦は何の攻撃力も持たないが\n設置された皿を吸い込むと竜巻に成長\n敵を巻き込み荒れ狂う
-0,5010,風符「三輪の皿嵐」,0,futo010,Spell_A_Init,,0,0,4,100,0,0,2,0,0,0,皿を周囲に旋回させつつ風を呼び\n暴風で周辺を攻撃する\n暴風が収まると風を起こしていた\n皿はそのまま設置状態になると\n環境にも優しい一石二鳥\n\nまぁ割られる事になりますが
-0,5011,炎符「太乙真火」,0,futo011,Spell_B_Init,,0,0,4,100,0,0,2,0,0,0,火気を全身で練り上げ束ね\n下方へ向けて放つ強力な放火スペル\n地表に到達した火気は周囲へと広がり\n相手への二次災害でのケアも万全\n\n周辺への影響が懸念されるが\n祭りと言えば火事と喧嘩とばかり\nあまり気にされていないようだ
-0,5012,運気「破局の開門」,0,futo012,Spell_C_Init,,0,0,4,100,0,0,2,0,0,0,物事の運気を操作する風水の真骨頂\n運気の低下する場を作り出し、内に居る相手の不幸を招いて攻撃とする\n\n設置時に皿を巻き込むことで運気の低下が\n大きくなり、相手に訪れる不幸が深刻になる
