key,id,name,lock,icon,init,func,type,rushType,command,cancel,mana,sp,useCount,faith_S,faith_D,faith_B,info
type,i,s,i,s,s,s,i,i,i,i,i,i,i,i,i,i,s
-0,4000,ハヌマーンの舞,0,hijiri000,SP_A_Init,,0,1,1,60,200,0,-1,0,0,1,詠唱による身体強化後、独鈷から生じた剣で\n踏み込み斬撃を見舞う\n\n連続使用することでコンビネーション派生し\n最後はスロットに対応したフィニッシュ炸裂とガンガンいくなら最適\n詠唱には霊力回復加速の効果がある
-0,4001,ヴィルーパークシャの目,1,hijiri001,SP_B_Init,,0,2,1,60,200,0,-1,1,0,0,聖から放たれる気合で周辺の敵を圧し\n射撃を無効化しつつ、一方的に相手からの\n広範囲の弾幕もかき消す\n\n詠唱自体にも射撃をかき消す効果がある
-0,4002,インドラの雷,0,hijiri002,SP_C_Init,,0,3,1,60,200,0,-1,1,0,0,魔力を込めた数珠を飛ばし、落雷を起こす\n数珠は相手に吸い付くよう飛び\n的確に相手を捕まえる\nスロットで動き出すタイミングを操作でき\n引っ掛けの手段としても機能する\n\n詠唱を行うたびに余剰魔力がチャージされ\n三回この詠唱を行うと周囲を攻撃できる
-0,4003,スカンダの脚,0,hijiri003,SP_D_Init,,0,4,1,60,200,0,-1,0,1,0,身体強化を一点特化させ移動速度を上げ\n相手へ瞬時に詰め寄り連続打撃を加える\nあまりの速さに衝撃が遅れて伝わり\n相手は聖の背後で踊らされてしまう\n\nこの手の爆発的な強化は\n頻繁な詠唱を要するのが難点
-0,4004,ヴィルーダカの剣,0,hijiri004,SP_E_Init,,0,5,1,60,200,0,-1,0,1,0,独鈷を巨大な槍に見立て、全力で投げ付け\n相手を貫く貴重な遠距離射撃\n速度と相殺に強く距離を置く相手に\n調子付かせないための定番\n\nこの詠唱は別の詠唱で上書きすると\n使用回数が上乗せされる効果がある
-0,4005,ガルーダの爪,1,hijiri005,SP_F_Init,,0,6,1,60,200,0,-1,0,0,1,上下に距離をとった後、斜めに強烈な蹴りで\n切り返す突進攻撃\n聖の強烈なスピードに縦軸が加わり\nその異常機動に拍車が掛かる\n\nまた詠唱後短時間、相手の防御の上から\n与える損害が大きくなる
-0,4006,ドゥルガーの魂,0,hijiri006,SP_G_Init,,0,1,1,60,200,0,-1,0,0,1,身体硬化の魔法での防御からの強烈な一撃\n詠唱回数だけ敵の攻撃に耐えられ\n繰り出す打撃は回数に比例して強化\n\n硬化による防御は詠唱時も有効で\n強引な詠唱を通すことも可能
-0,4010,天符「三千大千世界の主」,0,hijiri010,Spell_A_Init,,0,100,4,100,0,0,2,0,0,0,敵へ独鈷を投げて動きを止めて詰め寄り\n全力の乱打を加えてボコボコにする\n\n初投の独鈷がスピード重視の線の投擲で\n激しく動く相手に命中させづらいが\n射撃の隙間を縫ってくる致命の一撃は\nそれを踏まえてなお脅威となる
-0,4011,天符「大日如来の輝き」,0,hijiri011,Spell_B_Init,,0,100,4,100,0,0,2,0,0,0,極限まで集中を高めると同時に魔力を圧縮\n相手が攻撃してくる一瞬の隙を察知し\nそこを通してカウンターで魔力をぶつけ返す\n相手の意思が攻撃に傾き生じた隙であれば\n射撃だろうが打撃だろうが見逃さない\n
-0,4012,天符「釈迦牟尼の五行山」,0,hijiri012,Spell_C_Init,,0,0,4,100,0,0,2,0,0,0,聖の信仰がお釈迦様の手と化し\n有り難い一撃で相手を地に伏せる\n\n彼女の信仰は何よりも巨大で強大\n雲山ですら及ばないスケールを誇る
