key,id,name,lock,icon,init,func,type,rushType,command,cancel,mana,sp,useCount,faith_S,faith_D,faith_B,info
type,i,s,i,s,s,s,i,i,i,i,i,i,i,i,i,i,s
-,10000,吼怒の妖狐面,0,kokoro000,SP_A_Init,,0,1,1,60,300,0,-1,0,0,1,狐の面を被り、相手へ飛び掛る突進技\n面の霊気が牙となって相手へ喰らい付き\n広範囲をなぎ払うように噛み砕く\n\n使用後、こころの放つ感情が怒に切り変わる
-,10001,怒声の大蜘蛛面,0,kokoro001,SP_B_Init,,0,2,1,60,400,0,-1,0,0,1,土蜘蛛の面から糸を放ち相手を拘束する\n糸がつながっている間、バックダッシュで\n相手を引きずる事が可能になり\n再入力で糸が切れる代わりに\n相手を手前に吹き飛ばす\n\n使用後、こころの放つ感情が怒に切り変わる
-,10002,憂嘆の長壁面,0,kokoro002,SP_C_Init,,0,3,1,60,300,0,-1,1,0,0,敵意を持つ者の接近に反応し\n襲い掛かる面を周囲にばら撒く\n\n使用後、こころの放つ感情が憂に切り変わる
-,10003,憂心の鬼婆面,0,kokoro003,SP_D_Init,,0,4,1,60,300,0,-1,1,0,0,任意の方向へ面を放ち待機させる\n待機した面がある状態だとこの技が\n面の呼び戻し動作に変化し\n経路上の相手を攻撃しつつ手元へ帰ってくる\n\n使用後、こころの放つ感情が憂に切り変わる
-,10004,歓喜の獅子面,0,kokoro004,SP_E_Init,,0,5,1,60,500,0,-1,0,1,0,獅子の面を取り出し、相手へ向けて\n口から放たれる炎を豪快に浴びせる\n噛まれると縁起がいいものだが\n焼かれる場合はどうなのか？\n\n使用後、こころの放つ感情が喜に切り変わる
-,10005,狂喜の火男面,0,kokoro005,SP_F_Init,,0,6,1,60,400,0,-1,0,1,0,ひょっとこの面と扇を構えて踊りを披露し\n面とこころから溢れる喜びの感情が\n花火となって周囲にばら撒かれる\n\n使用後、こころの放つ感情が喜に切り変わる
-,10006,こころのルーレット,0,kokoro006,SP_G_Init,,0,7,1,60,300,0,-1,0,0,0,面を装着して自らの放つ感情を変化させる\n装着する面は回転する中から正面が選ばれ\nキーを押し続けることで調整が可能\n
-,10010,怒面「怒れる忌狼の面」,0,kokoro010,Spell_A_Init,Spell_A_Func,0,100,4,100,0,0,2,0,0,0,感情任せに面から相手に突っ込む突進技で\n上下キーでリアルタイムに進行方向を\n変えることができる\n\nまた、このカードの宣言後はこころの\n感情が切り替わるたびに霊気が高まり\nそれに応じて使用時の性能が強化される
-,10011,憑依「喜怒哀楽ポゼッション」,0,kokoro011,Spell_B_Init,,0,100,4,100,0,0,2,0,0,0,こころを中心に感情の波動を炸裂\n放つ感情に応じて相手の感情に影響を及ぼし\n敵を情緒不安定にさせることができる\n\nいわば今回の異変の縮図と言ってもよい
-,10012,憂面「杞人地を憂う」,0,kokoro012,Spell_C_Init,,0,100,4,100,0,0,2,0,0,0,感情の面を相手へ飛ばし、そこを中心に\n霊気の奔流で打ち上げる大技\n\n面はこころの思念で正確に追跡され\n相手がどこにいようとも狙い打つ反面\nこころ自身は無防備な状態となってしまう
