key,id,name,lock,icon,init,func,type,rushType,command,cancel,mana,sp,useCount,faith_S,faith_D,faith_B,info
type,i,s,i,s,s,s,i,i,i,i,i,i,i,i,i,i,s
-0,6000,縮地のマント,1,miko000,SP_A_Init,,0,1,1,60,400,0,-1,0,0,1,マントでの目くらましからワープを行う技で\n人気が高まっていると目で追うのも困難だが\n便利な移動技だからとあまりに\n調子にのって逃げ回ると人気が下がる\n\n空間移動は仙人を目指す人間に憧れのスキル
-0,6001,十七条のレーザー,1,miko001,SP_B_Init,,0,2,1,60,300,0,-1,0,1,0,抜刀の剣閃が空中に固定され\n間をおいて光がほとばしる射撃技\nスロットの前後で光の収束率を調整でき\n広範囲をなぎ払うも一点を焼き尽くすも自由\n\n１７条に纏めるにはコツが必要な精密作業で\nコンディションの影響を受けやすい
-0,6002,デザイアの求魂,1,miko002,SP_C_Init,,0,3,1,60,200,0,-1,1,0,0,神子に集まっている欲を弾丸として放出する\n欲のチャージ消耗が最大の技だが、その分強化時の性能は凄まじく\n弱体時のダメッぷりも群を抜いている
-0,6003,黄金の剣ジパング,1,miko003,SP_D_Init,,0,4,1,60,400,0,-1,0,0,1,空間に刃を生成し敵を切り裂く\n装備位置次第で周囲をカバーでき\n上下への攻撃が手薄な中で貴重な攻撃\n
-0,6004,東方のインフルーエンス,1,miko004,SP_E_Init,,0,5,1,60,500,0,-1,0,1,0,周囲を手でなぞり、遅れてそこを光が走る\n欲が集まると輪は大きく、長くなり\n彼女の権威をより大きく知らしめる\n\n輪だけあって中央はスカスカである\n巨大化するとこの空間も大きく・・・
-0,6005,テンフォールドの垂聴,1,miko005,SP_F_Init,,0,6,1,60,100,0,-1,1,0,0,周囲の欲を集め、十分集まると人気へ変換する\nスロットで集める速度と量を調整できるほか\n途中で再使用すれば相手に人気を与えるものの欲を射撃として飛ばすことができる\n\n相手は人気が集まりきる前に神子に攻撃すれば集まりかけの人気をそっくり横取りが出来る
-0,6006,輝く者の慈雨,0,miko006,SP_G_Init,,0,7,1,60,200,0,-1,0,1,0,神子が空に手をかざすと、天から\n光の剣が降り注ぐ\n\n飛来する剣は彼女の威光そのものであり\n向けられる信仰が高まるほど濃密な\n剣の弾幕が襲い掛かる
-0,6011,仙符「日出ずる処の道士」,0,miko010,Spell_B_Init,,0,100,4,100,0,0,2,0,0,0,神子から発する強烈な光が地から天へと満たされる\n周辺攻撃だが見ての通り真下に対し\n特に素早く攻撃が出来る\n
-0,6012,道符「掌の上の天道」,0,miko011,Spell_C_Init,,0,100,4,100,0,0,2,0,0,0,周辺を星がめぐる天球儀を放つ\n周囲を回転する星が相手に次々ぶつかり\nこれが有る限り相手はまともに動けない
-0,6013,人符「勧善懲悪は古の良き典なり」,0,miko012,Spell_D_Init,,0,0,4,100,0,0,2,0,0,0,彼女が持つ人気そのものを宝剣を通して刃に\n練り上げ、相手を貫く\n\n人気が増大すればその分攻撃は強力になり\n向けられていれば負の感情でも利用できる為\n人気が極端に低い状況も好都合となる
