key,id,name,lock,icon,init,func,type,rushType,command,cancel,mana,sp,useCount,faith_S,faith_D,faith_B,info
type,i,s,i,s,s,s,i,i,i,i,i,i,i,i,i,i,s
-0,7000,空中ブラスター,0,nitori000,SP_A_Init,,0,0,1,60,200,0,-1,1,0,0,上空へボトルを打ち出し、手動誘導爆撃する\n打ち上げる弾丸は小型だが、発射時の\n爆風で上の相手を吹き飛ばすことも可能\n\n弾丸の炸裂は100％水力で\nそのギミックは河童脅威のメカニズムである
-0,7001,光子トゥーピド,0,nitori001,SP_B_Init,,0,0,1,60,150,0,-1,1,0,0,飛行移動しつつ相手を空爆する\n上下スロットで投下、打ち上げ式の爆雷で\n前後スロットだと前方推進の空対空弾を発射\n\n華麗な飛行と弾幕を披露する
-0,7002,さよならラバーリング,0,nitori002,SP_C_Init,,0,0,1,60,150,0,-1,0,0,1,アンカーを射出して、巻き上げの勢いで移動\nスロット位置で様々な移動を行う\nアンカー自体では攻撃できないため\nタイミングを間違えると自ら\n敵の攻撃へ飛び込むことになるが\nこの攻撃から生み出される機動性は逸品
-0,7003,クリミナルギア,0,nitori003,SP_D_Init,,0,0,1,60,150,0,-1,0,1,0,かばんから駆動ギアを射出し相手を攻撃\n射出したギアはしばらくその場に固定され\n再度この攻撃を出した際に連動が可能
-0,7004,ミズバク大回転,0,nitori004,SP_E_Init,,0,0,1,60,250,0,-1,0,0,1,水風船を振り回し、勢いをつけて投擲\n回転中は打撃であり、回転するほど\n投げる風船の勢いは強くなる\nまた壁にぶつかると水がはじけて\n相手の頭上から引っ掛ける曲射も可能
-0,7005,菊一文字コンプレッサー,0,nitori005,SP_F_Init,,0,0,1,60,125,0,-1,0,1,0,上下に強烈な水流を放出するユニットを発射\nエネルギー消費がはげしいが\nその分射撃として高性能なので\n適切なエネルギー配分で運用すべし
-0,7006,キューリサウンドシステム,0,nitori006,SP_G_Init,,0,7,1,60,500,0,-1,0,1,0,側面に展開したスピーカーから強烈な音波を\n発して相手を攻撃する技で\n音量の強烈さから、単体でスタンを引き起こす\n発射中慣性移動が強く、角度調整も\n可能であるため、機銃掃射のように扱える
-0,7010,豪雨「河底大戦争」,0,nitori012,Spell_A_Init,,0,0,4,100,0,0,2,0,0,0,上空に降雨装置を射出、ゲリラ豪雨と鉄砲水を引き起こして濁流に相手を巻き込んで攻撃する\n水流は緻密な計算で誘導されており\n観客や屋台への被害は皆無なので安心
-0,7011,泡符「撃て！バブルドラゴン」,0,nitori010,Spell_B_Init,,0,100,4,100,0,0,2,0,0,0,特殊な器具で中から外に簡単に出れない\nシャボン形状のトラップを発射する\n生成時に近くの相手は閉じ込め\n遠くの相手に対しては動きを制限する\n壁となる
-0,7012,戦機「飛べ！三平ファイト」,0,nitori011,Spell_C_Init,,0,100,4,100,0,0,2,0,0,0,外部パーツに背中のかばんを一時的に換装\n相手へ突っ込む突進攻撃\n起動時とバーニア点火時の二回\n上下キーで方向制御の機会がある
