key,name,point,flag
type,s,i,b
0,ファーストヒット,100,false
1,浮かせ,100,false
2,打ち下ろし,100,false
3,壁ヒット,100,false
4,床ヒット,100,false
5,スペルマックス,100,false
6,ファーストスペル-EASY-,100,false
7,ファーストスペル-NORMAL-,100,false
8,ファーストスペル-HARD-,100,false
9,ファーストスペル-LUNATIC-,100,false
10,ラウンド先取,100,false
11,,100,false
12,コンボ-5,100,false
13,コンボ-10,100,false
14,コンボ-20,100,false
15,コンボ-50,100,false
16,コンボ-MAX,100,false
17,ダメージ-1000,100,false
18,ダメージ-2000,100,false
19,ダメージ-5000,100,false
20,ダメージ-クリティカル,100,false
21,蒼魔方陣,100,false
22,紅魔方陣,100,false
23,カウンター成る,100,false
24,ガードクラッシュ成る,100,false
25,華麗なる後方回避,100,false
26,華麗なる前方回避,100,false
27,グレイズ-100,100,false
28,グレイズ-1000,100,false
29,ガード-100,100,false
30,ガード-500,100,false
31,霊力消費10000,100,false
32,瀬戸際の逆転を目指せ,100,false
33,圧倒的大差で押し切れ,100,false
34,最大の窮地来たる,100,false
35,,100,false
36,,100,false
37,,100,false
38,,100,false
39,,100,false
40,,100,false
41,,100,false
