key,file_path,balloon_x,balloon_y,base_offset_x,base_offset_y,face_type
type,s,i,i,i,i,s
•z“s_Œˆ1,data/event/pic/futo/01.dds,777,418,0,0,D
•z“s_•‰1,data/event/pic/futo/02.dds,791,354,0,0,B
•z“s_•1,data/event/pic/futo/03.dds,742,343,0,0,A
•z“s_Šğ1,data/event/pic/futo/05.dds,742,343,0,0,A
•z“s_“{1,data/event/pic/futo/06.dds,742,343,0,0,A
•z“s_‹Á1,data/event/pic/futo/07.dds,791,354,0,0,B
•z“s_˜f1,data/event/pic/futo/08.dds,791,354,0,0,B
•z“s_Š¾1,data/event/pic/futo/09.dds,791,354,0,0,B
•z“s_—]1,data/event/pic/futo/10.dds,791,354,0,0,B
•z“s_“G1,data/event/pic/futo/11.dds,742,343,0,0,A
