key,file_path,balloon_x,balloon_y,base_offset_x,base_offset_y,face_type
type,s,i,i,i,i,s
ˆê—Ö_Œˆ1,data/event/pic/ichirin/01.dds,761,357,0,0,D
ˆê—Ö_•‰1,data/event/pic/ichirin/02.dds,767,343,0,0,B
ˆê—Ö_•1,data/event/pic/ichirin/03.dds,743,339,0,0,A
ˆê—Ö_Šğ1,data/event/pic/ichirin/05.dds,743,339,0,0,A
ˆê—Ö_“{1,data/event/pic/ichirin/06.dds,767,343,0,0,B
ˆê—Ö_‹Á1,data/event/pic/ichirin/07.dds,767,343,0,0,B
ˆê—Ö_˜f1,data/event/pic/ichirin/08.dds,743,339,0,0,A
ˆê—Ö_Š¾1,data/event/pic/ichirin/09.dds,767,343,0,0,B
ˆê—Ö_—]1,data/event/pic/ichirin/10.dds,743,339,0,0,A
