key,file_path,balloon_x,balloon_y,base_offset_x,base_offset_y,face_type
type,s,i,i,i,i,s
Ç±Ç¢Çµ_åà1,data/event/pic/koishi/01.dds,746,313,0,0,D
Ç±Ç¢Çµ_ïâ1,data/event/pic/koishi/02.dds,748,339,0,0,A
Ç±Ç¢Çµ_ïÅ1,data/event/pic/koishi/03.dds,748,339,0,0,A
Ç±Ç¢Çµ_ä1,data/event/pic/koishi/05.dds,748,339,0,0,A
Ç±Ç¢Çµ_ì{1,data/event/pic/koishi/06.dds,774,349,0,0,B
Ç±Ç¢Çµ_ã¡1,data/event/pic/koishi/07.dds,748,339,0,0,A
Ç±Ç¢Çµ_òf1,data/event/pic/koishi/08.dds,748,339,0,0,A
Ç±Ç¢Çµ_äæ1,data/event/pic/koishi/09.dds,774,349,0,0,B
Ç±Ç¢Çµ_ó]1,data/event/pic/koishi/10.dds,774,349,0,0,B
