key,file_path,balloon_x,balloon_y,base_offset_x,base_offset_y,face_type
type,s,i,i,i,i,s
Ç±Ç±ÇÎ_åà1,data/event/pic/kokoro/01.dds,703,250,0,0,D
Ç±Ç±ÇÎ_ïâ1,data/event/pic/kokoro/02.dds,771,241,0,0,C
Ç±Ç±ÇÎ_ïÅ1,data/event/pic/kokoro/03.dds,756,228,0,0,A
Ç±Ç±ÇÎ_ä1,data/event/pic/kokoro/05.dds,756,228,0,0,A
Ç±Ç±ÇÎ_ì{1,data/event/pic/kokoro/06.dds,709,239,0,0,B
Ç±Ç±ÇÎ_ã¡1,data/event/pic/kokoro/07.dds,709,239,0,0,B
Ç±Ç±ÇÎ_òf1,data/event/pic/kokoro/08.dds,771,241,0,0,C
Ç±Ç±ÇÎ_äæ1,data/event/pic/kokoro/09.dds,771,241,0,0,C
Ç±Ç±ÇÎ_ó]1,data/event/pic/kokoro/10.dds,756,228,0,0,A
