key,file_path,balloon_x,balloon_y,base_offset_x,base_offset_y,face_type
type,s,i,i,i,i,s
マミゾウ_決1,data/event/pic/mamizou/01.dds,846,355,0,0,D
マミゾウ_負1,data/event/pic/mamizou/02.dds,677,267,0,0,B
マミゾウ_普1,data/event/pic/mamizou/03.dds,748,235,0,0,A
マミゾウ_嬉1,data/event/pic/mamizou/05.dds,677,267,0,0,B
マミゾウ_怒1,data/event/pic/mamizou/06.dds,748,235,0,0,A
マミゾウ_驚1,data/event/pic/mamizou/07.dds,748,235,0,0,A
マミゾウ_惑1,data/event/pic/mamizou/08.dds,677,267,0,0,B
マミゾウ_汗1,data/event/pic/mamizou/09.dds,748,235,0,0,A
マミゾウ_余1,data/event/pic/mamizou/10.dds,748,235,0,0,A
