key,file_path,balloon_x,balloon_y,base_offset_x,base_offset_y,face_type
type,s,i,i,i,i,s
神子_決1,data/event/pic/miko/01.dds,743,297,0,0,D
神子_負1,data/event/pic/miko/02.dds,740,312,0,0,B
神子_普1,data/event/pic/miko/03.dds,744,295,0,0,A
神子_嬉1,data/event/pic/miko/05.dds,740,312,0,0,B
神子_怒1,data/event/pic/miko/06.dds,744,295,0,0,A
神子_驚1,data/event/pic/miko/07.dds,740,312,0,0,B
神子_惑1,data/event/pic/miko/08.dds,740,312,0,0,B
神子_汗1,data/event/pic/miko/09.dds,740,312,0,0,B
神子_余1,data/event/pic/miko/10.dds,744,295,0,0,A
神子_余2,data/event/pic/miko/09.dds,740,312,0,0,B
