key,file_path,balloon_x,balloon_y,base_offset_x,base_offset_y,face_type
type,s,i,i,i,i,s
Ç…Ç∆ÇË_åà1,data/event/pic/nitori/01.dds,773,371,0,0,D
Ç…Ç∆ÇË_ïâ1,data/event/pic/nitori/02.dds,745,370,0,0,C
Ç…Ç∆ÇË_ïÅ1,data/event/pic/nitori/03.dds,736,345,0,0,A
Ç…Ç∆ÇË_ä1,data/event/pic/nitori/05.dds,812,385,0,0,B
Ç…Ç∆ÇË_ì{1,data/event/pic/nitori/06.dds,820,394,0,0,B
Ç…Ç∆ÇË_ã¡1,data/event/pic/nitori/07.dds,736,345,0,0,A
Ç…Ç∆ÇË_òf1,data/event/pic/nitori/08.dds,736,345,0,0,A
Ç…Ç∆ÇË_äæ1,data/event/pic/nitori/09.dds,736,345,0,0,A
Ç…Ç∆ÇË_ó]1,data/event/pic/nitori/10.dds,812,385,0,0,B
