key,file_path,balloon_x,balloon_y,base_offset_x,base_offset_y,face_type
type,s,i,i,i,i,s
—ì–²_Œˆ1,data/event/pic/reimu/01.dds,776,300,0,0,D
—ì–²_•‰1,data/event/pic/reimu/02.dds,740,292,0,0,A
—ì–²_•1,data/event/pic/reimu/03.dds,740,292,0,0,A
—ì–²_•2,data/event/pic/reimu/04.dds,740,292,0,0,A
—ì–²_Šğ1,data/event/pic/reimu/05.dds,745,290,0,0,B
—ì–²_“{1,data/event/pic/reimu/06.dds,745,290,0,0,B
—ì–²_‹Á1,data/event/pic/reimu/07.dds,745,290,0,0,B
—ì–²_˜f1,data/event/pic/reimu/08.dds,740,292,0,0,A
—ì–²_Š¾1,data/event/pic/reimu/09.dds,740,292,0,0,C
—ì–²_—]1,data/event/pic/reimu/10.dds,740,292,0,0,C
—ì–²_“G1,data/event/pic/reimu/11.dds,740,292,0,0,C
—ì–²_“G2,data/event/pic/reimu/16.dds,740,292,0,0,A
—ì–²_–1,data/event/pic/reimu/12.dds,740,292,0,0,C
—ì–²_Œˆ2,data/event/pic/reimu/17.dds,854,422,0,0,E
