key,file_path,balloon_x,balloon_y,base_offset_x,base_offset_y,face_type
type,s,i,i,i,i,s
菫子_決1,data/event/pic/usami/01.dds,682,321,0,0,D
菫子_負1,data/event/pic/usami/02.dds,765,303,0,0,B
菫子_普1,data/event/pic/usami/03.dds,739,292,0,0,A
菫子_嬉1,data/event/pic/usami/05.dds,739,292,0,0,A
菫子_怒1,data/event/pic/usami/06.dds,765,303,0,0,B
菫子_驚1,data/event/pic/usami/07.dds,739,292,0,0,A
菫子_惑1,data/event/pic/usami/08.dds,765,303,0,0,B
菫子_汗1,data/event/pic/usami/09.dds,739,292,0,0,A
菫子_余1,data/event/pic/usami/10.dds,765,303,0,0,B
