key,name,path,volume,category,cue
type,string,string,float,integer,bool
,,,,,
1800,,data/se/futo/1800.wav,0.7,1,true
1801,,data/se/common/h001.wav,0.9,1,true
1802,,data/se/futo/1800.wav,0.7,1,true
1803,,data/se/common/h001.wav,0.9,1,true
1804,,data/se/futo/1804.wav,0.9,1,true
1805,,data/se/common/h002.wav,0.9,1,true
1806,,data/se/futo/1806.wav,0.9,1,true
1807,,data/se/common/h030.wav,1,1,true
1808,,data/se/futo/1808.wav,0.8,1,true
1809,,data/se/common/h035_3.wav,1,1,true
1810,,data/se/futo/1810.wav,0.7,1,true
1811,,data/se/futo/1811.wav,0.8,1,true
1812,,data/se/common/h003.wav,0.9,1,true
1813,,data/se/common/h030.wav,1,1,true
1814,,data/se/futo/1814.wav,0.7,1,true
1815,,data/se/futo/1815.wav,0.8,1,true
1816,,data/se/common/h003.wav,0.9,1,true
1817,,data/se/common/h030.wav,1,1,true
1818,,data/se/futo/1804.wav,0.9,1,true
1819,,data/se/common/h003.wav,0.9,1,true
1820,,data/se/futo/1815.wav,0.8,1,true
1821,,data/se/common/h030.wav,1,1,true
1822,,data/se/futo/1822.wav,0.9,1,true
1823,,data/se/futo/1823.wav,0.8,1,true
1824,,data/se/common/s016_2.wav,0.8,1,true
1825,,data/se/futo/1825.wav,0.9,1,true
1826,,data/se/futo/1823.wav,0.8,1,true
1827,,data/se/common/s016_2.wav,0.8,1,true
1828,,data/se/futo/1822.wav,0.9,1,true
1829,,data/se/futo/1823.wav,0.8,1,true
1830,,data/se/common/s016_1.wav,0.8,1,true
1831,,data/se/futo/1831.wav,0.9,1,true
1832,,data/se/futo/1832.wav,0.7,1,true
1833,,data/se/futo/1833.wav,0.9,1,true
1834,,data/se/common/h030.wav,1,1,true
1835,,data/se/futo/1835.wav,0.9,1,true
1836,,data/se/futo/1836.wav,0.9,1,true
1837,,data/se/futo/1837.wav,0.9,1,true
1838,,data/se/futo/1838.wav,0.9,1,true
1839,,data/se/futo/1839.wav,0.9,1,true
1840,,data/se/futo/1840.wav,1,1,true
1841,,data/se/common/s016_2.wav,0.8,1,true
1842,,data/se/futo/1842.wav,0.9,1,true
1843,,data/se/futo/1843.wav,0.9,1,true
,,,,,
,,,,,
,,,,,
,,,,,
1899,,data/se/futo/1899.wav,0.9,1,true
1900,,data/se/futo/1900.wav,0.7,1,true
1901,,data/se/futo/1901.wav,0.9,1,true
1902,,data/se/common/h003.wav,0.9,1,true
1903,,data/se/futo/1903.wav,0.7,1,true
1904,,data/se/futo/1904.wav,0.7,1,true
1905,,data/se/futo/1905.wav,0.5,1,true
1906,,data/se/futo/1906.wav,0.8,1,true
1907,,data/se/futo/1907.wav,0.9,1,true
1908,,data/se/futo/1908.wav,0.9,1,true
1909,,data/se/common/h003.wav,0.9,1,true
1910,,data/se/futo/1810.wav,0.7,1,true
1911,,data/se/futo/1911.wav,0.9,1,true
1912,,data/se/common/h004.wav,0.9,1,true
1913,,data/se/futo/1913.wav,0.9,1,true
1914,,data/se/futo/1914.wav,0.9,1,true
1915,,data/se/futo/1915.wav,0.9,1,true
1916,,data/se/futo/1916.wav,0.7,1,true
1917,,data/se/futo/1917.wav,0.8,1,true
1918,,data/se/futo/1810.wav,0.7,1,true
1919,,data/se/futo/1919.wav,1,1,true
1920,,data/se/futo/1920.wav,0.9,1,true
1921,,data/se/common/s016_1.wav,0.8,1,true
1930,,data/se/futo/1930.wav,1,1,true
1931,,data/se/common/h001.wav,0.9,1,true
1932,,data/se/futo/1932.wav,0.8,1,true
1933,,data/se/futo/1933.wav,0.9,1,true
1934,,data/se/futo/1915.wav,0.9,1,true
1935,,data/se/futo/1935.wav,0.9,1,true
1936,,data/se/futo/1936.wav,0.9,1,true
1950,,data/se/futo/1950.wav,0.8,1,true
1951,,data/se/futo/1951.wav,1,1,true
1952,,data/se/futo/1952.wav,1,1,true
1953,,data/se/futo/1953.wav,0.8,1,true
1954,,data/se/futo/1936.wav,0.9,1,true
1955,,data/se/futo/1936.wav,0.9,1,true
1956,,data/se/futo/1956.wav,0.9,1,true
1957,,data/se/common/h030.wav,1,1,true
1958,,data/se/futo/1958.wav,1,1,true
1959,,data/se/futo/1959.wav,0.9,1,true
1960,,data/se/futo/1960.wav,0.9,1,true
1961,,data/se/futo/1961.wav,0.7,1,true
1962,,data/se/futo/1962.wav,0.9,1,true
1963,,data/se/futo/1963.wav,0.9,1,true
1964,,data/se/common/h035_3.wav,1,1,true
1965,,data/se/futo/1965.wav,0.9,1,true
1966,,data/se/futo/1970.wav,0.9,1,true
1967,,data/se/futo/1967.wav,1,1,true
1968,,data/se/futo/1968.wav,0.6,1,true
1969,,data/se/futo/1969.wav,0.6,1,true
1970,,data/se/futo/1970.wav,0.9,1,true
,,,,,
1989,,data/se/futo/1989.wav,0.9,1,true
1990,,data/se/futo/1990.wav,0.9,1,true
1991,,data/se/futo/1991.wav,0.5,1,true
1992,,data/se/futo/1992.wav,0.9,1,true
1993,,data/se/futo/1993.wav,0.9,1,true
1994,,data/se/futo/1994.wav,0.7,1,true
