キャラクター,ファイル名,グループ
0,reimu_a1.dds,A
0,reimu_a2.dds,A
0,reimu_a3.dds,A
0,reimu_a4.dds,A
0,reimu_a5.dds,A
0,reimu_b1.dds,B
0,reimu_b2.dds,B
0,reimu_b3.dds,B
0,reimu_b4.dds,B
0,reimu_b5.dds,B
1,marisa_a1.dds,A
1,marisa_a2.dds,A
1,marisa_a3.dds,A
1,marisa_a4.dds,A
1,marisa_a5.dds,A
1,marisa_b1.dds,B
1,marisa_b2.dds,B
1,marisa_b3.dds,B
1,marisa_b4.dds,B
1,marisa_b5.dds,B
2,ichirin_a1.dds,A
2,ichirin_a2.dds,A
2,ichirin_a3.dds,A
2,ichirin_a4.dds,A
2,ichirin_a5.dds,A
2,ichirin_b1.dds,B
2,ichirin_b2.dds,B
2,ichirin_b3.dds,B
2,ichirin_b4.dds,B
2,ichirin_b5.dds,B
3,hijiri_a1.dds,A
3,hijiri_a2.dds,A
3,hijiri_a3.dds,A
3,hijiri_a4.dds,A
3,hijiri_a5.dds,A
3,hijiri_b1.dds,B
3,hijiri_b2.dds,B
3,hijiri_b3.dds,B
3,hijiri_b4.dds,B
3,hijiri_b5.dds,B
4,futo_a1.dds,A
4,futo_a2.dds,A
4,futo_a3.dds,A
4,futo_a4.dds,A
4,futo_a5.dds,A
4,futo_b1.dds,B
4,futo_b2.dds,B
4,futo_b3.dds,B
4,futo_b4.dds,B
4,futo_b5.dds,B
5,miko_a1.dds,A
5,miko_a2.dds,A
5,miko_a3.dds,A
5,miko_a4.dds,A
5,miko_a5.dds,A
5,miko_b1.dds,B
5,miko_b2.dds,B
5,miko_b3.dds,B
5,miko_b4.dds,B
5,miko_b5.dds,B
6,nitori_a1.dds,A
6,nitori_a2.dds,A
6,nitori_a3.dds,A
6,nitori_a4.dds,A
6,nitori_a5.dds,A
6,nitori_b1.dds,B
6,nitori_b2.dds,B
6,nitori_b3.dds,B
6,nitori_b4.dds,B
6,nitori_b5.dds,B
7,koishi_a1.dds,A
7,koishi_a2.dds,A
7,koishi_a3.dds,A
7,koishi_a4.dds,A
7,koishi_a5.dds,A
7,koishi_b1.dds,B
7,koishi_b2.dds,B
7,koishi_b3.dds,B
7,koishi_b4.dds,B
7,koishi_b5.dds,B
8,mamizou_a1.dds,A
8,mamizou_a2.dds,A
8,mamizou_a3.dds,A
8,mamizou_a4.dds,A
8,mamizou_a5.dds,A
8,mamizou_b1.dds,B
8,mamizou_b2.dds,B
8,mamizou_b3.dds,B
8,mamizou_b4.dds,B
8,mamizou_b5.dds,B
9,kokoro_a1.dds,A
9,kokoro_a2.dds,A
9,kokoro_a3.dds,A
9,kokoro_a4.dds,A
9,kokoro_a5.dds,A
9,kokoro_b1.dds,B
9,kokoro_b2.dds,B
9,kokoro_b3.dds,B
9,kokoro_b4.dds,B
9,kokoro_b5.dds,B
