key,name0,face0,balloon0,message0,name1,face1,balloon1,message1,name2,face2,balloon2,message2
type,string,string,string,string,string,string,string,string,string,string,string,string
common1,布都,普1,a11x2,いちまーいにまーい\nさんまーい……\,,,,,,,,
common2,布都,汗1,a15x3,はちまーいきゅうまーい……\n何度数えても足りない\,,,,,,,,
,,,,,,,,,,,,
reimu1,布都,普1,a11x2,暇なら隙間からお皿を\n持ってきてくれんか\,,,,,,,,
marisa1,布都,惑1,a15x3,品が感じられないな\nオカルトだったとしても\nもっとこう……\,,,,,,,,
ichirin1,布都,余1,a11x2,大きいだけが\n取り柄のようだな\,,,,,,,,
hijiri1,布都,余1,a11x2,その乗り物は何だ？\n快適なのか？\,,,,,,,,
futo1,布都,驚1,a15x3,じゅうまーい\nえ？　十枚目があったぞ？\,,,,,,,,
,,,,,,,,,,,,
miko1,布都,普1,a11x2,は、お皿の片付けは\nしておきますので\,,,,,,,,
,,,,,,,,,,,,
nitori1,布都,驚1,a11x2,けったいな風体の怪獣だな\,,,,,,,,
koishi1,布都,普1,a15x3,いつの間にか後ろに……\nほうこれが電話と言う物か\,,,,,,,,
mamizou1,布都,普1,a15x3,宇宙人だと？\n宇宙から来た癖に何で裸なんだ？\,,,,,,,,
kokoro1,布都,普1,a15x3,別に口は裂けてないじゃないか\,,,,,,,,
mokou1,布都,普1,a15x3,竹林での道案内、すまんな\nどうも道に迷いやすくてなぁ\,,,,,,,,
mokou2,布都,驚1,a11x2,不老不死なんだって？\,,普1,a15x3,お前はどうやって\n死神の手から逃れているか\n聞きたいな\,,,,
,,,,,,,,,,,,
sinmyoumaru1,布都,普1,a11x2,お皿にお椀\nまるで食卓戦争のようだ\,,,,,,,,
kasen1,布都,余1,a11x2,これはこれは山の仙人様\n腕が鈍ってるのでは？\,,,,,,,,
usami1,布都,普1,a15x3,夢の中だから痛くないのかな\,,,,,,,,
usami2,布都,驚1,a15x3,今我々がいる世界がどういう所\nなのかは聞いた事あったが\,,普1,a15x3,さらに外の世界があるとはな\n現実は想像を遙かに超えるな\,,,,
