key,name0,face0,balloon0,message0,name1,face1,balloon1,message1,name2,face2,balloon2,message2
type,string,string,string,string,string,string,string,string,string,string,string,string
common1,聖,決1,a11x2,げに何事も一炊の夢\n南無三宝南無三宝\,,,,,,,,
common2,聖,嬉1,a11x2,今夜も百キロ\n出しちゃおうっと\,,,,,,,,
common3,聖,惑1,a15x3,このバイクに乗っていると\n首都高でバトルしてみたく\nなるのよね\,,惑1,a15x3,首都高ってどこだか判らないけど\,,,,
reimu1,聖,普1,a15x3,隙間女ってそんな隙間を切り裂く\n怪異なんですか？\,,,,,,,,
marisa1,聖,余1,a15x3,学校ってお寺の事でしょう？\nお寺の七不思議なら\n知っているけど\,,,,,,,,
,,,,,,,,,,,,
ichirin1,聖,惑1,a15x3,最近修業を怠ってると思ったら\nそんな遊びを……\,,,,,,,,
,,,,,,,,,,,,
hijiri1,聖,怒1,a11x2,最速の称号は貰った！\,,,,,,,,
futo1,聖,普1,a11x2,皿を割りすぎじゃない？\nそりゃ怒られるわよねぇ\,,,,,,,,
miko1,聖,惑1,a15x3,赤だと血まみれ\n青だと血を抜かれて……\nそれって何の為に？\,,,,,,,,
nitori1,聖,汗1,a15x3,あ、この怪獣\nよく見るとあちこち手抜き……\,,,,,,,,
nitori2,聖,普1,a11x2,ネッシーってＵＭＡ\nですよね\,,普1,a15x3,うちの寺にもＵＭＡっぽい\n生き物がいますけど\n仲良くなれるのかしら\,,,,
koishi1,聖,驚1,a15x3,はっ\n私の背後をとるとはやるな？\,,,,,,,,
mamizou1,聖,嬉1,a15x3,分福茶釜は止めたんですか？\n煮てやろうと思ったのに\,,,,,,,,
,,,,,,,,,,,,
kokoro1,聖,汗1,a11x2,キレイだって言っても\n襲われるんですね\,,,,,,,,
mokou1,聖,普1,a15x3,輪廻の輪から外れた\n者がここにも一人……\nそれも解脱なのかしら\,,,,,,,,
,,,,,,,,,,,,
sinmyoumaru1,聖,普1,a15x3,お椀の中にその緑色の小人を\n詰め込んでるのね\,,,,,,,,
,,,,,,,,,,,,
kasen1,聖,普1,a15x3,これはまた……\n神子とは傾向の違う\n仙人様のようで\,,,,,,,,
usami1,聖,嬉1,a15x3,げに幻想郷は一炊の夢\n貴方にとっては儚い物でしょうね\,,,,,,,,
usami2,聖,驚1,a05x2,へー\,,普1,a15x3,首都高はいつも混んでて\nバトルなんて出来ないの？\nその話、詳しく\,,,,
