key,name0,face0,balloon0,message0,name1,face1,balloon1,message1,name2,face2,balloon2,message2
type,string,string,string,string,string,string,string,string,string,string,string,string
common1,一輪,決1,a11x2,……ポッポポッポポポッ\,,,,,,,,
common2,一輪,余1,a11x2,……ポポッポポッポッ\nはーい鳩の真似でしたー\,,,,,,,,
reimu1,一輪,嬉1,a15x3,隙間女って\n敷いたゴザを捲ると隙間に\n女がびっしり……見たいな？\,,,,,,,,
marisa1,一輪,余1,a11x2,何か子供っぽいね\nそのオカルト\,,,,,,,,
ichirin1,一輪,惑1,c11x2,ポポポポー……\,,,,,,,,
hijiri1,一輪,嬉1,a11x2,ターボババアって……\nババアって、くくく\,,,,,,,,
hijiri2,一輪,普1,a15x3,いえいえ\nシュッとして格好いいですよ\n流石です\,,,,,,,,
futo1,一輪,普1,a11x2,古くさ！\nお菊さんだってさ\,,,,,,,,
miko1,一輪,驚1,a11x2,青が良いですね\nって何をするー\,,,,,,,,
miko2,一輪,驚1,a11x2,赤かなあ\nって何をするー\,,,,,,,,
nitori1,一輪,汗1,a15x3,遥か太古にはこんな\n大きな生き物がいたのかー\,,,,,,,,
koishi1,一輪,余1,a11x2,……はい、もしもし\n私も貴方の後ろにいます\,,,,,,,,
,,,,,,,,,,,,
mamizou1,一輪,驚1,a11x2,それこそ真のＵＦＯ……\,,,,,,,,
mamizou2,一輪,惑1,a11x2,気になるんですが……\,,惑1,a15x3,ＵＦＯは判るんですが\n貴方自身は何のオカルトの\n真似ごとしてるんですか？\,,,,
kokoro1,一輪,汗1,a15x3,口が裂けてもアタシキレイ？\nなんて聞けないわ\,,,,,,,,
,,,,,,,,,,,,
mokou1,一輪,驚1,a15x3,人体って燃えるんですねぇ\n何で出来てるんだろう\,,,,,,,,
sinmyoumaru1,一輪,惑1,a11x2,水も無いのに\nお椀が必要なの？\,,,,,,,,
sinmyoumaru2,一輪,余1,a15x3,その針って、特注よね？\nだったら別の武器でも\n良かったんじゃ……\,,,,,,,,
,,,,,,,,,,,,
kasen1,一輪,嬉1,a15x3,三つ願いが叶えられる……\n三つかー\n何にしようかな\,,,,,,,,
usami1,一輪,驚1,a15x3,え？　八尺さまって\nネットで生れたばっかの\n都市伝説なんですか？\,,,,,,,,
usami2,一輪,余1,a11x2,ネットって何でしょう？\nああ天網恢々って事ですか\,,,,,,,,
