key,name0,face0,balloon0,message0,name1,face1,balloon1,message1,name2,face2,balloon2,message2
type,string,string,string,string,string,string,string,string,string,string,string,string
common1,華扇,汗1,a11x2,こんな所で\n本気を出すわけが無い\,,,,,,,,
common2,華扇,決1,a11x2,猿の手で願いが叶うなら\n私は……\,,決1,a11x2,猿の手のままでいて貰おう\,,,,
reimu1,華扇,余1,a11x2,またうちで修業する？\n今度は爬虫類コースよ\,,,,,,,,
marisa1,華扇,決1,a15x3,魔力の使い方が\nまるで判っていない\nいつか死ぬよ？\,,,,,,,,
ichirin1,華扇,決1,a15x3,八尺さまってもしかして\n尺八を逆さに持っているって事？\,,,,,,,,
ichirin2,華扇,決1,a15x3,尺八を逆さに持っているのが\n八尺様だとすると\,,余1,a15x3,ポポポってのは\n上手く吹けないから出る音で……\nなる程\,,,,
hijiri1,華扇,汗1,a15x3,バ、バイク？\nババアがバイクとはこれぞ怪奇\,,,,,,,,
futo1,華扇,汗1,a15x3,私はそんな低レベルな仙人と\n一緒にされたくないわね\,,,,,,,,
miko1,華扇,嬉1,a11x2,丹余ってない？\nちょっと切らしちゃって\,,,,,,,,
nitori1,華扇,普1,a11x2,河童は相変わらずか……\,,,,,,,,
nitori2,華扇,普1,a11x2,霊夢に商売のやり方を\n教えてやって\,,汗1,a11x2,見るに堪えないわ\,,,,
koishi1,華扇,惑1,a15x3,地霊殿のお嬢ちゃんね\nお姉ちゃんが心配してたわよ\,,,,,,,,
mamizou1,華扇,決1,a11x2,狸はやっぱり食えない\n扱いにくい動物ね\,,,,,,,,
kokoro1,華扇,汗1,a15x3,今年もまた能をやるんでしょ？\n今年の演目はやっぱり口裂け女？\,,,,,,,,
mokou1,華扇,惑1,a15x3,もう死神からも狙われない\n孤独で哀れな死人よ\n私は同情するよ\,,,,,,,,
mokou2,華扇,諭1,a11x2,自らを燃やすのは\n疑似火葬という訳だ\,,普1,a15x3,私はそれを人体自然発火現象と\n名付けてやろう\,,,,
sinmyoumaru1,華扇,汗1,a11x2,緑の小人って\n七人いる奴だっけ？\,,,,,,,,
kasen1,華扇,汗1,a11x2,これは怪奇現象\nじゃないのかしら？\,,,,,,,,
usami1,華扇,惑1,a15x3,夢の中だけなんて……\nどういう力が働いているのか\,,,,,,,,
usami2,華扇,惑1,a05x2,私には判るわ\,,普2,a15x3,貴方は自分が持つ\n本当の都市伝説を\n隠しているでしょう？\,,,,
