key,name0,face0,balloon0,message0,name1,face1,balloon1,message1,name2,face2,balloon2,message2
type,string,string,string,string,string,string,string,string,string,string,string,string
common1,こいし,嬉1,a11x2,もしもーし\n今貴方を倒したの\,,,,,,,,
common2,こいし,嬉1,a15x3,もしもーし\n今貴方の背中の上にいるの\,,,,,,,,
common3,こいし,嬉1,a15x3,もしもーし\n今貴方の屍を越えて\n未来に向かおうとしているの\,,,,,,,,
,,,,,,,,,,,,
reimu1,こいし,怒1,a15x3,神社に行っても\n誰も私に気付かないのよね\,,,,,,,,
reimu2,こいし,普1,a11x2,私の方が隙間にいるみたい\,,,,,,,,
marisa1,こいし,惑1,a11x2,貴方の帽子重いわね\n何が入ってるの？\,,,,,,,,
ichirin1,こいし,惑1,a11x2,健康そうで良いなー\n私も地上に住もうかなー\,,,,,,,,
hijiri1,こいし,嬉1,a11x2,その乗り物良いなー！\n乗らせてよー\,,,,,,,,
hijiri2,こいし,普1,a11x2,そうそう貴方のお寺に\n水蜜って奴いるでしょ？\,,決1,a15x3,あの子、未だに血の池地獄の味が\n忘れられずたまに戻ってくるのよ\n知ってた？\,,,,
,,,,,,,,,,,,
futo1,こいし,決1,a11x2,はい、念願の十枚目は\n今貴方の後ろに……\,,,,,,,,
,,,,,,,,,,,,
miko1,こいし,惑1,a15x3,不老不死って言ったって\nやっぱり死ぬんでしょ？\nみんなそうだもん\,,,,,,,,
miko2,こいし,嬉1,a11x2,私は青が良いわー！\,,,,,,,,
,,,,,,,,,,,,
nitori1,こいし,普1,a11x2,ねー雑貨屋さーん\nその怪獣が欲しいなー\,,,,,,,,
,,,,,,,,,,,,
koishi1,こいし,嬉1,a11x2,もしもーし\n私も後ろに居るの\,,,,,,,,
,,,,,,,,,,,,
mamizou1,こいし,驚1,a15x3,そのボール\nオカルトボールならぬ\nエイリアンボール……！\,,,,,,,,
,,,,,,,,,,,,
kokoro1,こいし,怒1,a11x2,私の方がキレイだもん\,,,,,,,,
,,,,,,,,,,,,
mokou1,こいし,惑1,a15x3,不老不死って言ったって\nいずれ死ぬんでしょ？\nみんなそうだもん\,,,,,,,,
,,,,,,,,,,,,
sinmyoumaru1,こいし,嬉1,a15x3,私もそのお椀に入りたーい！\,,,,,,,,
sinmyoumaru2,こいし,驚1,a15x3,あー、お椀の中整理してないなー\n判る判るー　私も片付け苦手でねー\,,,,,,,,
,,,,,,,,,,,,
kasen1,こいし,普1,a15x3,願いは三つでしょー？\nやっぱり過去と現在と未来かなー\,,,,,,,,
kasen2,こいし,嬉1,a15x3,願いは三つでしょー？\n欲しいのは天と地と人かなー\,,,,,,,,
,,,,,,,,,,,,
usami1,こいし,惑1,a11x2,貴方の携帯電話？\,,普1,a15x3,それっぽいのは私が持ってるわ\n最近、うんともすんとも\n言わなくなっちゃったけど\,,,,
usami2,こいし,驚1,a15x3,え？　今は夢の中なの？\nふっしぎー、夢の中に入ったぞー\,,,,,,,,
