key,name0,face0,balloon0,message0,name1,face1,balloon1,message1,name2,face2,balloon2,message2
type,string,string,string,string,string,string,string,string,string,string,string,string
common1,こころ,嬉1,a11x2,ねえねえ\nアタシキレイ？\,,,,,,,,
common2,こころ,怒1,a11x2,ねえねえ\nアタシキレイでしょ？\,,,,,,,,
common3,こころ,惑1,a11x2,ねえねえ\nアタシキレイなの？\,,,,,,,,
,,,,,,,,,,,,
reimu1,こころ,汗1,a15x3,ぎゃあ\n顔とお面の隙間に女がいる！\,,驚1,a11x2,おっとお面が違うわ\n驚きはこっちこっち\,,,,
,,,,,,,,,,,,
marisa1,こころ,余1,a15x3,その校長先生のお面（？）を\nちょーだいな\,,,,,,,,
,,,,,,,,,,,,
ichirin1,こころ,惑1,a15x3,ポポポポーン\nそれ何処から発してるの？\,,,,,,,,
,,,,,,,,,,,,
hijiri1,こころ,余1,a15x3,うわあビックリした\n変な婆さんが二輪車でー！\,,驚1,a11x2,えーとお面間違えた\nこれが驚きのお面\,,,,
,,,,,,,,,,,,
futo1,こころ,惑1,a11x2,お皿、貸してあげるわ\n余りにも惨めで……\,,,,,,,,
,,,,,,,,,,,,
miko1,こころ,嬉1,a15x3,私はピンクのマントがいいわー\,,,,,,,,
,,,,,,,,,,,,
nitori1,こころ,嬉1,a15x3,うわああでっかい怪獣だー\n心臓が止まるかと思った\,,驚1,a11x2,えーとえーと\n驚きのお面を付けなきゃ\,,,,
,,,,,,,,,,,,
koishi1,こころ,決1,a15x3,私は全包囲に顔を持っている\n背後に廻った所で驚かないぞ\,,,,,,,,
,,,,,,,,,,,,
mamizou1,こころ,惑1,a15x3,宇宙人可愛い！\nこういう時の表情って\nこれで合ってるかなぁ\,,,,,,,,
,,,,,,,,,,,,
kokoro1,こころ,決1,a15x3,私だけは知っている\n実はこの中にドッペルゲンガーの\nオカルト持ちがいる事を\,,,,,,,,
,,,,,,,,,,,,
mokou1,こころ,嬉1,a15x3,私には死ぬ死なないの概念が\nよく判っていないのです\,,,,,,,,
,,,,,,,,,,,,
sinmyoumaru1,こころ,惑1,a15x3,あの逆さのお城の主ですか\n欠陥住宅は大変ですね\,,,,,,,,
,,,,,,,,,,,,
kasen1,こころ,汗1,a11x2,三つの願いを叶えたら\n何が起こるのです？\,,,,,,,,
kasen2,こころ,惑1,a15x3,その包帯……\n古傷が痛む事もあるのでしょうか\,,,,,,,,
,,,,,,,,,,,,
usami1,こころ,普1,a15x3,外の世界か……\n希望ある世界は実に羨ましい\,,,,,,,,
usami2,こころ,普1,a15x3,貴方、若い人間ね\n希望ある若者は実に羨ましい\,,,,,,,,
