key,name0,face0,balloon0,message0,name1,face1,balloon1,message1,name2,face2,balloon2,message2
type,string,string,string,string,string,string,string,string,string,string,string,string
common1,マミゾウ,余1,a15x3,宇宙人カプセルは外の世界の\n子供達が遊んでいた物を\nヒントにしたのじゃ\,,,,,,,,
common2,マミゾウ,嬉1,a15x3,今日のところは\nこの位にしておいてやるぞい\,,,,,,,,
,,,,,,,,,,,,
reimu1,マミゾウ,普1,a15x3,お前さんに変化するのは簡単じゃ\n何となく狸っぽいし\,,,,,,,,
reimu2,マミゾウ,惑1,a15x3,パワースポットを有り難がる\n文化が外にはあるんじゃ\,,余1,a11x2,その念がオカルトボールの\nパワーじゃよ\,,,,
,,,,,,,,,,,,
marisa1,マミゾウ,普1,a15x3,学校の七不思議とは懐かしい\nそんなもん怖がっている子供も\nいなくなったのう\,,,,,,,,
,,,,,,,,,,,,
ichirin1,マミゾウ,汗1,a11x2,随分とハイカラじゃな\nお寺に何かあったのか？\,,,,,,,,
,,,,,,,,,,,,
hijiri1,マミゾウ,汗1,a11x2,……ノーコメントじゃ\,,,,,,,,
hijiri2,マミゾウ,汗1,a15x3,ババアは高速道路を自分の脚で\n走るんじゃ無かったか？\,,,,,,,,
futo1,マミゾウ,余1,a15x3,風水は自然の力を利用するものだが\n儂らは自然を超越する力を\n持つといってるじゃろ\,,,,,,,,
futo2,マミゾウ,汗1,a15x3,お皿の一枚や二枚で\nそこまでやられるとはのう\nひどうのうひどいのう\,,,,,,,,
,,,,,,,,,,,,
miko1,マミゾウ,余1,a11x2,茶色のマントが良いのう\,,,,,,,,
,,,,,,,,,,,,
nitori1,マミゾウ,驚1,a15x3,なんと\nネッシーの動力は\nオカルトパワーなのか\,,,,,,,,
,,,,,,,,,,,,
koishi1,マミゾウ,汗1,a15x3,心の読めないサトリなんて\n人間に化けられない狸みたいな\nもんじゃ\,,,,,,,,
koishi2,マミゾウ,惑1,a15x3,儂は携帯電話が苦手なんじゃ\n文字が小さくてのう\,,,,,,,,
,,,,,,,,,,,,
mamizou1,マミゾウ,汗1,a15x3,いかんいかん\nどっちが本物か判らなくなるぞい\,,,,,,,,
,,,,,,,,,,,,
kokoro1,マミゾウ,惑1,a11x2,はいはい\nポマードポマード\,,,,,,,,
,,,,,,,,,,,,
mokou1,マミゾウ,汗1,a15x3,竹林は兎の縄張りじゃから\nあまり好かんのだ\,,,,,,,,
mokou2,マミゾウ,惑1,a15x3,しかし……\n不老不死なんて眉唾じゃな\,,,,,,,,
,,,,,,,,,,,,
sinmyoumaru1,マミゾウ,驚1,a11x2,一寸法師とは驚いたなぁ\,,,,,,,,
sinmyoumaru2,マミゾウ,汗1,a15x3,緑の小人って\n幻覚か何かじゃ無かったのかい？\,,,,,,,,
,,,,,,,,,,,,
kasen1,マミゾウ,普1,a15x3,猿の手、河童の腕、人魚のミイラ\nこれらが三大幻想干物じゃな\,,,,,,,,
kasen2,マミゾウ,惑1,a15x3,パワースポットを有り難がる\n文化が外にはあるんじゃ\,,余1,a11x2,その念がオカルトボールの\nパワーじゃよ\,,,,
,,,,,,,,,,,,
usami1,マミゾウ,普1,a11x2,夢遊病とも違うんじゃな\n夢幻病とでも名付けるか\,,,,,,,,
usami2,マミゾウ,惑1,a15x3,ところでお前さんは\nちゃんと勉学に励んでるのかのう\n無学なのは往年惨めじゃぞ？\,,嬉1,a15x3,人間に必要なのは豊富な知識でも\n柔軟な発想でも無い\n学ぶ欲と謙虚さじゃ\,,,,
