key,name0,face0,balloon0,message0,name1,face1,balloon1,message1,name2,face2,balloon2,message2
type,string,string,string,string,string,string,string,string,string,string,string,string
common1,魔理沙,普1,a15x3,しかと見よ！\nこれが学校の七不思議だ！\,,,,,,,,
reimu1,魔理沙,惑1,a11x2,隙間女なんて主人公の\n選ぶオカルトじゃ無いぜ\,,,,,,,,
reimu2,魔理沙,普1,a05x2,どうやら…\,,余1,c15x3,パワーストーンには最後の秘密が\n隠されているようだな\,,,,
,,,,,,,,,,,,
marisa1,魔理沙,嬉1,a11x2,今日も一日頑張るぜー！\,,,,,,,,
,,,,,,,,,,,,
ichirin1,魔理沙,決1,a11x2,で、そいつは\n何をする大女なんだ？\,,,,,,,,
hijiri1,魔理沙,余1,a15x3,思い切ったオカルトを選んだな\nすげーな\,,,,,,,,
futo1,魔理沙,普1,a15x3,お皿がいちまーい、にまーい\nところで今何時だい？\,,,,,,,,
miko1,魔理沙,惑1,a11x2,赤い紙青い紙ってのは\n聞いた事あったが……\,,,,,,,,
,,,,,,,,,,,,
nitori1,魔理沙,普1,a11x2,ネス湖って\n何処にあるんだよ……\,,,,,,,,
nitori2,魔理沙,普1,a11x2,それはそうと\nこのネッシー\,,汗1,c15x3,非想天則と違って\n金かかっているな\n儲ってるのか？\,,,,
koishi1,魔理沙,惑1,c15x3,知ってるぜ\nストーカー行為って奴だな\,,,,,,,,
,,,,,,,,,,,,
mamizou1,魔理沙,驚1,a11x2,何かインプラントされた\n気がするぞ\,,,,,,,,
,,,,,,,,,,,,
kokoro1,魔理沙,汗1,a11x2,ポマードで良いんだよな\nポマードポマード\,,,,,,,,
mokou1,魔理沙,汗1,a15x3,不老不死でも痛いんだよな\n何で自らを燃やすんだ？\nそういう奴なのか？\,,,,,,,,
sinmyoumaru1,魔理沙,普1,a15x3,緑の巨人なら聞いた事あるが\n小人なら何にも怖くないな\,,,,,,,,
kasen1,魔理沙,汗1,a11x2,それはどう見ても\n猿の手ではない\,,,,,,,,
usami1,魔理沙,惑1,a15x3,お前は一体いつ寝てるんだ？\,,,,,,,,
usami2,魔理沙,余1,a15x3,こっちに来たときは\n私か霊夢の所に来いよ\n他の奴は色々と危険だからな\,,,,,,,,
