key,name0,face0,balloon0,message0,name1,face1,balloon1,message1,name2,face2,balloon2,message2
type,string,string,string,string,string,string,string,string,string,string,string,string
common1,神子,決1,a15x3,赤マントか、青マントか\nお前が欲しいものを選べ！\,,,,,,,,
common2,神子,普1,a11x2,赤が良いか\nならば死ねい！\,,,,,,,,
common3,神子,普1,a11x2,そうかそうか青が良いか\nならば死ねい！\,,,,,,,,
reimu1,神子,普1,a15x3,隙間があったら入りたいだろう？\n存分に入るが良い\,,,,,,,,
marisa1,神子,惑1,a15x3,学校でちゃんと勉強しないと\n将来損をするぞ\,,,,,,,,
ichirin1,神子,普1,a11x2,そのポポポッってのは\n鳴き声なのかい？\,,,,,,,,
,,,,,,,,,,,,
hijiri1,神子,余1,a15x3,赤マントと暴走車\nまるで異国の闘牛士みたいだな\,,,,,,,,
,,,,,,,,,,,,
futo1,神子,普1,a11x2,お前の発想はいつまで\n経っても古くさいねぇ\,,,,,,,,
miko1,神子,普1,a15x3,自分だったら紫マントだな\n冠位十二階的に\,,,,,,,,
miko2,神子,余2,a15x3,隠し答えで黄色のマントが良いと\n答えてくれたら蜜柑をあげようと\n準備してたのだが……\,,余1,a11x2,みんな選択肢に忠実だな\,,,,
nitori1,神子,驚1,a11x2,今の河童は色んな\n機械を作れるのだな\,,,,,,,,
nitori2,神子,嬉1,a11x2,機械とは言え\n動物は大切にするが良い\,,,,,,,,
,,,,,,,,,,,,
koishi1,神子,惑1,a11x2,そんな電話には出ん……\nいや何でもない\,,,,,,,,
,,,,,,,,,,,,
mamizou1,神子,驚1,a15x3,宇宙人をそんなボールに\n閉じ込めておるのか\,,,,,,,,
mamizou2,神子,決1,a11x2,狸も長年生きれば\n強い妖怪になるのだな\,,,,,,,,
kokoro1,神子,普1,a15x3,もう、新しいお面は馴染んだよな？\,,,,,,,,
kokoro2,神子,惑1,a11x2,マスクで隠されては\n治療が出来ぬでは無いか\,,,,,,,,
,,,,,,,,,,,,
mokou1,神子,普1,a15x3,藤原の悪事は耳に届いておるぞ\n後の事は私に任せなさい\,,,,,,,,
mokou2,神子,驚1,a15x3,不老不死になる薬が\nすでに完成していたとはな\,,,,,,,,
sinmyoumaru1,神子,惑1,a15x3,大きな針だな\nそれならば目どころか\n頭も潰せるぞ\,,,,,,,,
kasen1,神子,普1,a15x3,山の仙人か\n同業者には干渉はしないよ\,,,,,,,,
usami1,神子,驚1,a15x3,今まさに夢の中なのか\nお主から見て我らの存在は一体\,,,,,,,,
usami2,神子,普1,a05x2,それはそうと\,,余2,a15x3,千四百年も経った外の世界で\n私の偉業はちゃんと\n伝えられているのかい？\,,,,
