key,name0,face0,balloon0,message0,name1,face1,balloon1,message1,name2,face2,balloon2,message2
type,string,string,string,string,string,string,string,string,string,string,string,string
common1,妹紅,普1,a11x2,オカルトなんて\n私には関係無いのに\,,,,,,,,
common2,妹紅,惑1,a11x2,この程度のイベント\n腐るほど味わって来たよ\,,,,,,,,
common3,妹紅,惑1,a05x2,どうやら……\,,汗1,a15x3,私に人体発火現象という\n都市伝説を押しつけた奴が\nいるという話っぽいな\,,,,
reimu1,妹紅,汗1,a15x3,お前か？\n私にオカルトを押しつけたのは\,,,,,,,,
reimu2,妹紅,惑1,a15x3,そう言えば\n永遠亭の連中に\nちょっとだけ聞いたぜ\,,汗1,a15x3,お前\n厄介で悪夢でしかない仕事を\n押しつけられそうだぞ？\,,,,
marisa1,妹紅,怒1,a15x3,止めときな\n不老不死は孤独で\n救われないもんだ\,,,,,,,,
ichirin1,妹紅,普1,a15x3,僧侶が人間を救っていたなら\nこの世はとっくに極楽だった\,,,,,,,,
hijiri1,妹紅,決1,a15x3,どうだ？\n死にまくった私の為に\n御経でも読んでくれないかね\,,,,,,,,
futo1,妹紅,普1,a15x3,お菊さんか……\n成仏できなくても\n死んでいる事には変わりない\,,,,,,,,
miko1,妹紅,驚1,a11x2,お前も不老不死だと……？\,,,,,,,,
miko2,妹紅,惑1,a11x2,自ら不老不死になる奴の\n気が知れん\,,,,,,,,
nitori1,妹紅,嬉1,a15x3,全ての水分を蒸発させてやる\,,,,,,,,
koishi1,妹紅,惑1,a15x3,地底の妖怪か\nどうりで奇怪な奴だと思った\,,,,,,,,
mamizou1,妹紅,決1,a15x3,その尻尾はよく燃えそうだな\,,,,,,,,
kokoro1,妹紅,普1,a11x2,顔が笑ってないな？\nお前怖いぞ\,,,,,,,,
mokou1,妹紅,驚1,a15x3,今更何が起きても驚か……\nうわあ、自分だあ！\,,,,,,,,
sinmyoumaru1,妹紅,怒1,a15x3,お前だけ大きな防具を\n身につけているな\n正々堂々と勝負しろ！\,,,,,,,,
kasen1,妹紅,普1,a15x3,そうか、仙人は死神と闘って\n長寿を得ているんだってな\,,,,,,,,
usami1,妹紅,驚1,a15x3,夢の中？\nこの間は実際にこっちに\nいたじゃ無いか\,,,,,,,,
usami2,妹紅,普1,a15x3,この間の忘れ物は届いたか？\,,惑1,a15x3,そうか\nあれはチェインメールだったのか\nってなんだそれ？\,,,,
