key,name0,face0,balloon0,message0,name1,face1,balloon1,message1,name2,face2,balloon2,message2
type,string,string,string,string,string,string,string,string,string,string,string,string
common1,にとり,怒1,a15x3,オカルトボールの\nエネルギー変換率が５％以下か\n何やってるんだ、低すぎる！\,,,,,,,,
common2,にとり,怒1,a15x3,この高いオカルトエネルギーを\n全てネッシー号に！\,,,,,,,,
,,,,,,,,,,,,
reimu1,にとり,普1,a11x2,ニッチな怪奇現象を\n選ぶなんてやるな\,,,,,,,,
,,,,,,,,,,,,
marisa1,にとり,普1,a11x2,学校自体がよく判らん\,,,,,,,,
marisa2,にとり,嬉1,a15x3,新しい箒いります？\n三十ニ年前から変わらぬ値段です\,,,,,,,,
,,,,,,,,,,,,
ichirin1,にとり,決1,a11x2,大きさなら負けないぞ！\n遥かにな\,,,,,,,,
hijiri1,にとり,驚1,a15x3,そ、その乗り物は……？\nうーん興味深い\n未知のテクノロジーだ\,,,,,,,,
futo1,にとり,嬉1,a15x3,あ、お皿買いますか？\n今なら九枚セットに\nもう一枚おつけします\,,,,,,,,
,,,,,,,,,,,,
miko1,にとり,普1,a11x2,ただで貰えるなら\n赤と青、両方貰うよ\,,,,,,,,
nitori1,にとり,決1,a15x3,今のは疲れ目からくる幻像だ！\,,,,,,,,
nitori2,にとり,決1,a11x2,今のはモブの河童Ａだ！\,,,,,,,,
,,,,,,,,,,,,
koishi1,にとり,驚1,a15x3,け、携帯電話だと？\nそうか都市伝説には\nそんな使い方が……\,,,,,,,,
,,,,,,,,,,,,
mamizou1,にとり,驚1,a15x3,宇宙人がそんなローテクでは\n許されないぞ！\,,,,,,,,
kokoro1,にとり,嬉1,a15x3,新しいお面をご紹介します\nどれもお似合いですよ\,,,,,,,,
mokou1,にとり,怒1,a15x3,うちの機械は火気厳禁なんでねぇ\,,,,,,,,
sinmyoumaru1,にとり,怒1,a11x2,まさか、うちのシマで\n魚釣ってたのはお前だなー\,,,,,,,,
kasen1,にとり,驚1,a15x3,うちのネッシーの話が判るって？\n本当に？\,,,,,,,,
kasen2,にとり,惑1,a11x2,霊夢さんに\n言ってやってくださいよ\,,汗1,a15x3,うちの商売の邪魔になるから\n変な事しないでってー\,,,,
usami1,にとり,驚1,a15x3,面白いもんいっぱい持ってるな\nちょっと見ーせーろーよー\,,,,,,,,
usami2,にとり,惑1,a15x3,スマホ？\n何だ、水に弱いのか、使えん\,,,,,,,,
usami3,にとり,惑1,a11x2,水に強い道具が\n無いなんて遅れてるな\,,,,,,,,
