key,name0,balloon0,face0,message0,name1,face1,balloon1,message1,name2,face2,balloon2,message2
type,string,string,string,string,string,string,string,string,string,string,string,string
common1,霊夢,a11x2,嬉1,あー\n隙間があったら入りたい\,,,,,,,,
common2,霊夢,a11x2,嬉1,普通にやれば\nもはや負ける要素はない\,,,,,,,,
reimu1,霊夢,a11x2,汗1,ドッペルゲンガー？\nだれのオカルト？\,,,,,,,,
marisa1,霊夢,a11x2,嬉1,怪奇は数が多ければ強い\nってもんじゃないでしょ\,,,,,,,,
ichirin1,霊夢,a11x2,嬉1,敗因はオカルトが\nマイナー過ぎるからよ\,,,,,,,,
hijiri1,霊夢,a15x3,汗1,何か知らないけど\nあんた見た目相当ヤバイわ\,,,,,,,,
futo1,霊夢,a15x3,普1,そう、お皿割っちゃったの……\nそれは呪われて仕方が無いわね\,,,,,,,,
miko1,霊夢,a11x2,嬉1,うーん意表を突いて\n青が良い！\,,,,,,,,
miko2,霊夢,c11x2,驚1,やっぱり赤にしようかな\,,,,,,,,
nitori1,霊夢,a11x2,惑1,あんたは都市伝説を\nはき違えている\,,,,,,,,
koishi1,霊夢,a11x2,惑1,電話って拒否出来ないの？\n煩わしいわねぇ\,,,,,,,,
mamizou1,霊夢,a11x2,嬉1,宇宙人は案外可愛いわね\,,,,,,,,
kokoro1,霊夢,a11x2,汗1,口裂け女って\n般若の面の事なの？\,,,,,,,,
mokou1,霊夢,a11x2,汗1,あんた一応人間でしょ？\n何で燃えてるのよ\,,,,,,,,
sinmyoumaru1,霊夢,a15x3,決1,お椀にお湯を注いでやろう\nいい出汁が取れるかも知れないわ\,,,,,,,,
kasen1,霊夢,a15x3,普1,その手で願いが叶うなら\nオカルトボールは要らないわ\,,,,,,,,
usami1,霊夢,a11x2,驚1,夢の中でも肉体ごと\nこっちに来てるのねぇ\,,,,,,,,
usami2,霊夢,a05x2,驚1,結局さあ…\,,惑1,a15x3,月の都のオカルトボールは\nあんたの物じゃ無いのね？\nどういうことだろう\,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,n,,,,
