key,name0,face0,balloon0,message0,name1,face1,balloon1,message1,name2,face2,balloon2,message2
type,string,string,string,string,string,string,string,string,string,string,string,string
common1,針妙丸,嬉1,a15x3,全部集めて大きくなるぞー！\,,,,,,,,
common2,針妙丸,普1,a15x3,小が大を兼ねたって良いじゃない\,,,,,,,,
reimu1,針妙丸,余1,a11x2,そんな隙間\n縫い付けてやる！\,,,,,,,,
marisa1,針妙丸,汗1,a11x2,そんな大きな厠に\nいかないもん\,,,,,,,,
ichirin1,針妙丸,惑1,a15x3,一寸法師と八尺様って\n何か名前からして\n仲間だと思うの\,,,,,,,,
ichirin2,針妙丸,驚1,a15x3,八尺……\n一尺が十寸だから八十倍……\,,,,,,,,
hijiri1,針妙丸,決1,a11x2,私だって\n乗り物に乗ってるもん\,,,,,,,,
futo1,針妙丸,嬉1,a15x3,お皿貸してみ？\nこの針で皿回し出来るもん\,,,,,,,,
miko1,針妙丸,汗1,a15x3,血が抜かれる都市伝説なんて\n怖くないもん\n赤も青もいらないもん\,,,,,,,,
nitori1,針妙丸,惑1,a15x3,頭のこれはお皿じゃないよ\n河童じゃないよ\nほんとだよ\,,,,,,,,
koishi1,針妙丸,驚1,b11x2,ぎゃあ後ろにいたー！\,,,,,,,,
mamizou1,針妙丸,決1,a15x3,物語で狸はえてして最後\nタヌキ汁になるのよ\,,,,,,,,
mamizou2,針妙丸,汗1,a15x3,このお椀にタヌキ汁入れたら\n匂いが取れなさそうだなー\,,,,,,,,
kokoro1,針妙丸,惑1,a11x2,私サイズのお面が\n無いなんてつまらない\,,,,,,,,
mokou1,針妙丸,驚1,a15x3,熱い熱い\n耐熱お椀じゃ無ければ\n煮えていたわ！\,,,,,,,,
sinmyoumaru1,針妙丸,嬉1,a11x2,やったー\n私に勝ったー！\,,,,,,,,
kasen1,針妙丸,普1,a15x3,仙人？　貴方が？\nふーん、何か変な匂いがするねぇ\,,,,,,,,
kasen2,針妙丸,惑1,a11x2,貴方を見ていると\,,普1,a15x3,目を突いてやりたくなるのよね\n理由は判らないけど\,,,,
usami1,針妙丸,驚1,a11x2,ぎゃあ、あの変態だー！\n逃げろー\,,,,,,,,
usami2,針妙丸,驚1,a15x3,今は夢の中だから\n捕まえないって？\nでも逃げろー\,,,,,,,,
