key,name0,face0,balloon0,message0,name1,face1,balloon1,message1,name2,face2,balloon2,message2
type,string,string,string,string,string,string,string,string,string,string,string,string
common1,宇佐見,驚1,a11x2,まさかこの闘いが\n夢の中だなんて\,,,,,,,,
common2,宇佐見,惑1,a15x3,あーあ、目が覚めたら現国かあ\nあれ超つまんないのよね\,,,,,,,,
common3,宇佐見,驚1,a11x2,怪我しちゃった\nでも夢だからいいや\,,汗1,a15x3,まてよ……？\nこの間のアザが\n残ってたような……\,,,,
reimu1,宇佐見,余1,a11x2,隙間女なんて\n主人公らしくなーい\,,,,,,,,
reimu2,宇佐見,普1,a15x3,神社は居心地良いわね\nいつも匿ってくれて有難うー\,,,,,,,,
marisa1,宇佐見,嬉1,a15x3,うちの学校の七不思議には\n空飛ぶ教頭の髪の毛があるわ\,,,,,,,,
marisa2,宇佐見,汗1,a15x3,最近、うちの学校の七不思議に\nいつも寝てるのに成績優秀な生徒\nってのが入りそうなの\,,,,,,,,
ichirin1,宇佐見,驚1,a15x3,八尺様ってネットで\n生まれた都市伝説なのに……\nこっちの世界にも浸透したのね\,,,,,,,,
ichirin2,宇佐見,嬉1,a15x3,ネットの都市伝説ってね\nお爺さんとか僧侶とか出てきたら\n話が崩壊するの、強すぎてね\,,,,,,,,
hijiri1,宇佐見,汗1,a15x3,……え？\nターボババア？\n暴走族？\,,,,,,,,
hijiri2,宇佐見,惑1,a15x3,ネットで調べて来たわ\nターボババアは\n自分の脚で走るそうよ\,,決1,a15x3,貴方のは\nゴーストラ○ダーか何かと\n混同しています\,,,,
futo1,宇佐見,惑1,a15x3,お菊さんとお岩さんって\nいつも混ざっちゃうのよねぇ\,,,,,,,,
futo2,宇佐見,汗1,a15x3,播州皿屋敷と番町皿屋敷も\nどうしても混同するわー\,,,,,,,,
miko1,宇佐見,嬉1,a15x3,怪人赤マントって\nちょっと素敵だわー\n意外と好きな女子って多いのよ\,,,,,,,,
miko2,宇佐見,決1,a11x2,私の格好のモデルは\n怪人赤マントよ\,,,,,,,,
nitori1,宇佐見,惑1,a11x2,ネッシーはネタばらしを\nしていたような……\,,,,,,,,
nitori2,宇佐見,嬉1,a15x3,ネス湖の奥底で幻想郷みたいに\n別の世界と繋がっていたら……\nネッシーだって夢じゃ無いわ！\,,,,,,,,
koishi1,宇佐見,汗1,a11x2,メリーさん？\nそんなの着信拒否でしょ\,,,,,,,,
koishi2,宇佐見,惑1,a15x3,正直言うと、この手のホラーが\n一番苦手ね……\n実際に居そうだもん、変質者\,,,,,,,,
mamizou1,宇佐見,普1,a15x3,知的宇宙人は絶対いる\nって信じている人、多いのよね\,,,,,,,,
mamizou2,宇佐見,惑1,a15x3,知的宇宙人は絶対いる\nって信じている人、多いけど……\n理科の得意な私が断言するわ\,,余1,a15x3,人類が接触できる知的宇宙人は\nこの宇宙に存在しない！\,,,,
kokoro1,宇佐見,汗1,a11x2,花粉症なのかなと\n思っちゃった\,,,,,,,,
kokoro2,宇佐見,普1,a15x3,ポマードって何？\n何か古くさい響きなんだけど\,,,,,,,,
mokou1,宇佐見,普1,a15x3,人体発火現象の原因は\n球電だと考えられているの\,,,,,,,,
mokou2,宇佐見,驚1,a15x3,え？　不老不死？\nそっちの方が\nよっぽどオカルトだわ！\,,,,,,,,
sinmyoumaru1,宇佐見,驚1,a15x3,捕まえたわー！\n夢の中だけど持って帰れるかなぁ\,,,,,,,,
sinmyoumaru2,宇佐見,汗1,c11x2,緑色の方はいらないわ\,,,,,,,,
kasen1,宇佐見,驚1,a15x3,猿の手……何でも願いが叶う手\nゴクリ……\,,,,,,,,
kasen2,宇佐見,嬉1,a11x2,焼き肉と寿司と……\nあと一つは何が良いかな\,,,,,,,,
usami1,宇佐見,決1,a15x3,ドッペルゲンガーの怪\nそう\nこれこそが私の真のオカルト\,,,,,,,,
usami2,宇佐見,決1,a15x3,睡眠というのは\n二人の自分を切り替える\nスイッチに過ぎないのだ\,,,,,,,,
