key,name,path,path2,line,volume,track_no,title,author,comment,hidden
type,string,string,string,integer,integer,integer,string,string,string,integer
101,,data\bgm\155reimu1.ogg,,0,100,1,二色蓮花蝶 ～ Red and White,Arranged by コンプ(豚乙女),Guitar & Bass:コンプ Piano:パプリカ,0
102,,data\bgm\155marisa1.ogg,,0,100,2,恋色マスタースパーク,Arranged by oiko(SOUNDOT),,0
103,,data\bgm\155ichirin1.ogg,,0,100,3,時代親父とハイカラ少女,Arranged by しゃばだば(Sound CYCLONE),Guitar:しゃばだば Bass:sou Piano:HearTribe,0
104,,data\bgm\155hijiri1.ogg,,0,100,4,感情の摩天楼　～ Cosmic Mind,Arranged by NYO(Silver Forest),Guitar:NYO,0
105,,data\bgm\155futo1.ogg,,0,100,5,大神神話伝,Arranged by 鯛の小骨(Azure&Sands),,0
106,,data\bgm\155miko1.ogg,,0,100,6,聖徳伝説　～ True Administrator,Arranged by 鷹(CROW'SCLAW),Guitar & Bass:鷹,0
107,,data\bgm\155nitori1.ogg,,0,100,7,芥川龍之介の河童  ～ Candid Friend,Arranged by ゆうゆ(ゆや｡),,0
108,,data\bgm\155koishi1.ogg,,0,100,8,ハルトマンの妖怪少女,Arranged by 岸田(岸田教団),Guitar & Bass:岸田,0
109,,data\bgm\155mamizou1.ogg,,0,100,9,幻想郷の二ッ岩,Arranged by 秀三(石鹸屋),Guitar & Bass:秀三,0
110,,data\bgm\155kokoro1.ogg,,0,100,10,亡失のエモーション,Arranged by どぶウサギ(dBu music),Guitar:わさもん Violin:JUN,0
111,,data\bgm\155mokou1.ogg,,0,100,11,月まで届け、不死の煙,Arranged by ziki_7(SOUNDOT),,0
112,,data\bgm\155sinmyoumaru1.ogg,,1,100,12,輝く針の小人族　～ Little Princess,Arranged by ぴずや(ぴずやの独房/Pizuya's Cell),Guitar:テラ(少女理論観測所) Bass:pizuya,0
113,,data\bgm\155kasen1.ogg,,1,100,13,華狭間のバトルフィールド,Arranged by Kou Ogata(k-waves LAB),Wistles & Concertina & Flat Mandolin & Irish Bouzouki:Kou Ogata,0
114,,data\bgm\155usami1.ogg,,1,100,14,ラストオカルティズム　～ 現し世の秘術師,Arranged by ARM(IOSYS),,0
115,,data\bgm\155udonge1.ogg,,1,100,15,狂気の瞳　～ Invisible Full Moon,Arranged by ビートまりお(COOL&CREATE),,0
116,,data\bgm\155doremy1.ogg,,1,100,16,永遠の春夢,Arranged by 狐夢想(狐夢想屋),,0
117,,data\bgm\155tenshi1.ogg,,1,100,17,有頂天変　～ Wonderful Heaven,Arranged by 紅い流星(東京アクティブNEETs),Piano:紅い流星 Bass:蒼い刹那 Drum:ショボン Sax.:山石本薫 Trumpet:ヒロコマン,0
118,,data\bgm\155yukari1.ogg,,1,100,18,夜が降りてくる　～ Evening Star,Arranged by ELEMENTAS(A-One),,0
301,,data\bgm\bgst01.ogg,,2,100,19,地の色は黄色　～ Primrose,Composed by あきやまうに,Guitar:にいむ,1
302,,data\bgm\bgst02.ogg,,2,100,20,マッシュルーム・ワルツ,Composed by あきやまうに,,1
303,,data\bgm\bgst03.ogg,,2,100,21,聖輦船空を往く,Composed by あきやまうに,,1
304,,data\bgm\bgst04.ogg,,2,100,22,法力の下の平等,Composed by あきやまうに,,1
305,,data\bgm\bgst05.ogg,,2,100,23,恒常不変の参廟祀,Composed by あきやまうに,Cello:荒井英理也,1
306,,data\bgm\bgst06.ogg,,2,100,24,光輝く天球儀,Composed by あきやまうに,,1
307,,data\bgm\bgst07.ogg,,2,100,25,沢の河童の技術力,Composed by あきやまうに,,1
308,,data\bgm\bgst08.ogg,,2,100,26,地底に咲く薔薇,Composed by あきやまうに,Violin:JUN,1
309,,data\bgm\bgst09.ogg,,2,100,27,深緑の狸森にて,Composed by あきやまうに,,1
310,,data\bgm\bgst10.ogg,,2,100,28,心綺楼演舞,Composed by あきやまうに,,1
311,,data\bgm\bgst11.ogg,,2,100,29,不滅のレッドソウル,Composed by あきやまうに,Guitar:にいむ,1
312,,data\bgm\bgst12.ogg,,3,100,30,落日に映える逆さ城,Composed by あきやまうに,,1
313,,data\bgm\bgst13.ogg,,3,100,31,千の試練を超えて,Composed by あきやまうに,,1
314,,data\bgm\bgst14.ogg,,3,100,32,夢世界フォークロア,Composed by あきやまうに,,1
315,,data\bgm\bgst15.ogg,,3,100,33,永遠に続く回廊,Composed by あきやまうに,,1
316,,data\bgm\bgst16.ogg,,3,100,34,スリープシープ・パレード,Composed by あきやまうに,,1
317,,data\bgm\bgst17.ogg,,3,100,35,至る有頂天,Composed by あきやまうに,,1
318,,data\bgm\midboss.ogg,,3,100,36,憑坐は夢と現の間に　～ Necro-Fantasia,Composed by ZUN,,1
319,,data\bgm\lastboss.ogg,,3,100,37,今宵は飄逸なエゴイスト(Live ver)　～ Egoistic Flowers.,Composed by ZUN,,1
351,,data\bgm\145st01.ogg,,3,100,38,オカルトアトラクト,Composed by あきやまうに,Guitar:にいむ,1
352,,data\bgm\145st02.ogg,,3,100,39,ネオ竹林インフレイム,Composed by あきやまうに,Guitar:にいむ,1
353,,data\bgm\145st03.ogg,,3,100,40,億万劫の鐘,Composed by あきやまうに,,1
354,,data\bgm\145st04.ogg,,3,100,41,アンノウンX　～ Occultly Madness,Composed by ZUN,,1
401,,data\bgm\story01.ogg,,4,100,42,憑依投合,Composed by あきやまうに,,1
402,,data\bgm\story02.ogg,,4,100,43,連帯責人,Composed by あきやまうに,,1
403,,data\bgm\story03.ogg,,4,100,44,合縁奇縁,Composed by あきやまうに,,1
404,,data\bgm\story04.ogg,,4,100,45,異心同体,Composed by あきやまうに,,1
405,,data\bgm\story05.ogg,,4,100,46,壮言大語,Composed by あきやまうに,,1
406,,data\bgm\story06.ogg,,4,100,47,知略縦横,Composed by あきやまうに,,1
407,,data\bgm\story07.ogg,,4,100,48,意気揚々,Composed by あきやまうに,,1
408,,data\bgm\story08.ogg,,4,100,49,開演間近,Composed by あきやまうに,,1
409,,data\bgm\story09.ogg,,4,100,50,天衣無縫　～ Yellow Lily,Composed by あきやまうに,,1
501,,data\bgm\th155op1.ogg,,5,100,52,異変の種子,Composed by あきやまうに,,1
502,,data\bgm\th155op2.ogg,,5,100,53,疑惑の芽生え,Composed by あきやまうに,,1
503,,data\bgm\th155op3.ogg,,5,100,55,真相へ繋がる枝葉,Composed by あきやまうに,Violin:JUN,1
504,,data\bgm\th155op4.ogg,,5,100,57,舞い散る憑依華吹雪,Composed by あきやまうに,Violin:JUN,1
506,,data\bgm\ending.ogg,,4,100,51,行雲流水,Composed by あきやまうに,,1
507,,data\bgm\staffroll0.ogg,,5,100,54,未だ蕾む憑依華,Composed by あきやまうに,Cello:荒井英理也,1
508,,data\bgm\staffroll1.ogg,,5,100,56,咲き誇る憑依華,Composed by あきやまうに,Violin:JUN,1
509,,data\bgm\staffroll2.ogg,,5,100,58,悠久の蒸気機関,Arranged by Kou Ogata(k-waves LAB),Tin Whistle & Low Whistle & Concertina & Flat Mandolin:Kou Ogata,1
601,,data\bgm\155reimu1_20.ogg,,-1,100,-1,二色蓮花蝶 ～ Red and White,20秒版,,0
602,,data\bgm\155marisa1_20.ogg,,-1,100,-1,恋色マスタースパーク,20秒版,,0
603,,data\bgm\155ichirin1_20.ogg,,-1,100,-1,時代親父とハイカラ少女,20秒版,,0
604,,data\bgm\155hijiri1_20.ogg,,-1,100,-1,感情の摩天楼　～ Cosmic Mind,20秒版,,0
605,,data\bgm\155futo1_20.ogg,,-1,100,-1,大神神話伝,20秒版,,0
606,,data\bgm\155miko1_20.ogg,,-1,100,-1,聖徳伝説　～ True Administrator,20秒版,,0
607,,data\bgm\155nitori1_20.ogg,,-1,100,-1,芥川龍之介の河童  ～ Candid Friend,20秒版,,0
608,,data\bgm\155koishi1_20.ogg,,-1,100,-1,ハルトマンの妖怪少女,20秒版,,0
609,,data\bgm\155mamizou1_20.ogg,,-1,100,-1,幻想郷の二ッ岩,20秒版,,0
610,,data\bgm\155kokoro1_20.ogg,,-1,100,-1,亡失のエモーション,20秒版,,0
611,,data\bgm\155mokou1_20.ogg,,-1,100,-1,月まで届け、不死の煙,20秒版,,0
612,,data\bgm\155sinmyoumaru1_20.ogg,,-1,100,-1,輝く針の小人族　～ Little Princess,20秒版,,0
613,,data\bgm\155kasen1_20.ogg,,-1,100,-1,華狭間のバトルフィールド,20秒版,,0
614,,data\bgm\155usami1_20.ogg,,-1,100,-1,ラストオカルティズム　～ 現し世の秘術師,20秒版,,0
615,,data\bgm\155udonge1_20.ogg,,-1,100,-1,狂気の瞳　～ Invisible Full Moon,20秒版,,0
616,,data\bgm\155doremy1_20.ogg,,-1,100,-1,永遠の春夢,20秒版,,0
617,,data\bgm\155tenshi1_20.ogg,,-1,100,-1,有頂天変　～ Wonderful Heaven,20秒版,,0
618,,data\bgm\155yukari1_20.ogg,,-1,100,-1,夜が降りてくる　～ Evening Star,20秒版,,0
801,,data\bgm\bgst01_20.ogg,,-1,100,-1,地の色は黄色　～ Primrose,20秒版,,0
802,,data\bgm\bgst02_20.ogg,,-1,100,-1,マッシュルーム・ワルツ,20秒版,,0
803,,data\bgm\bgst03_20.ogg,,-1,100,-1,聖輦船空を往く,20秒版,,0
804,,data\bgm\bgst04_20.ogg,,-1,100,-1,法力の下の平等,20秒版,,0
805,,data\bgm\bgst05_20.ogg,,-1,100,-1,恒常不変の参廟祀,20秒版,,0
806,,data\bgm\bgst06_20.ogg,,-1,100,-1,光輝く天球儀,20秒版,,0
807,,data\bgm\bgst07_20.ogg,,-1,100,-1,沢の河童の技術力,20秒版,,0
808,,data\bgm\bgst08_20.ogg,,-1,100,-1,地底に咲く薔薇,20秒版,,0
809,,data\bgm\bgst09_20.ogg,,-1,100,-1,深緑の狸森にて,20秒版,,0
810,,data\bgm\bgst10_20.ogg,,-1,100,-1,心綺楼演舞,20秒版,,0
