key,win_front,wf_default,win_back,wb_default,lose_front,lf_default,lose_back,lb_default,name0,balloon0,face0,message0,name1,face1,balloon1,message1,name2,face2,balloon2,message2
type,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
common1,default,余1,default,普1,default,負1,default,負1,win_front,a,,こんな戦いじゃ皿も勿体ない\,,,,,,,,
common2,default,余1,default,普1,default,負1,default,負1,win_front,a,,\R[河童|スレイブ]の皿と、自分の皿で\n我ら皿コンビじゃな\n意外と最強かもしれん\,,,,,,,,
reimu1,default,普1,default,普1,default,負1,default,負1,win_front,a,,元気にしてるか？\n最近とんと神社の良い噂を\n聞いてないが\,,,,,,,,
marisa1,default,嬉1,default,普1,default,負1,default,負1,win_front,a,,火力が増しておる\nお主は水属性なのに難儀なこった\,,,,,,,,
ichirin1,default,嬉1,default,普1,default,負1,default,負1,win_front,a,,また遊ぼうな\,,,,,,,,
ichirin2,default,普2,default,普1,default,負1,default,負1,win_front,a,,そういえば\,,嬉1,a,プリズムリバー楽団という奴らが\nライブという物をやってるそうだ\n一緒に見に行かないか？\,,,,
hijiri1,default,惑1,default,普1,default,負1,default,負1,win_front,a,,お主だけでも十分強いのに\n太子様と組んでしまったら\n最強じゃないですか\,,,,,,,,
futo1,default,惑1,default,普1,default,負1,default,負1,win_front,a,,あれ？\n自分とそっくり……\,,,,,,,,
miko1,default,普2,default,普1,default,負1,default,負1,win_front,a,,完全憑依戦の稽古\n有難うございます\,,,,,,,,
nitori1,default,驚1,default,普1,default,負1,default,負1,win_front,a,,神霊廟では屋台を開かないのか？\,,,,,,,,
koishi1,default,普1,default,普1,default,負1,default,負1,win_front,a,,地底は良いな\n温泉がいっぱいあって\,,,,,,,,
mamizou1,default,惑1,default,普1,default,負1,default,負1,win_front,a,,\R[狸|タヌキ]と\R[狸|マミ]ってどう違うんだ？\,,,,,,,,
kokoro1,default,普1,default,普1,default,負1,default,負1,win_front,a,,そのお面、かけてみたいかも……\,,,,,,,,
kasen1,default,余1,default,普1,default,負1,default,負1,win_front,a,,その動物を操る仙術\nちょっと勉強したいぞ\,,,,,,,,
mokou1,default,驚1,default,普1,default,負1,default,負1,win_front,a,,不老不死は究極の仙術じゃ\n羨ましいのう\,,,,,,,,
sinmyoumaru1,default,余1,default,普1,default,負1,default,負1,win_front,a,,生意気な小人も\n見慣れると可愛いもんじゃ\,,,,,,,,
usami1,default,驚1,default,普1,default,負1,default,負1,win_front,a,,インスタ映え？\n割れたお皿ばっか見て\n何考えてるんじゃ？\,,,,,,,,
udonge1,default,普1,default,普1,default,負1,default,負1,win_front,a,,その変なラッパ\n何の役に立つのか？\,,,,,,,,
doremy1,default,汗1,default,普1,default,負1,default,負1,win_front,a,,何だか眠くなってきた……\,,,,,,,,
tenshi1,default,汗1,default,普1,default,負1,default,負1,win_front,c,,天人は変人だらけだって噂\n本当だったんだ\,,,,,,,,
yukari1,default,驚1,default,普1,default,負1,default,負1,win_front,a,,その切れ目の向こう側には\n何があるんだ？\,,,,,,,,
jyoon1,default,余1,default,普1,default,負1,default,負1,win_front,a,,金遣いの荒そうな奴だな\nそれじゃ、蓄えは少なそうだ\,,,,,,,,
jyoon2,default,汗1,default,普1,shion,負1,default,負1,win_front,a,,金運を高めるには\n黄色を身に付けると良いぞ\,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,n,,,,
