,,,,,,,,,,,,,,,,,,,,
key,win_front,wf_default,win_back,wb_default,lose_front,lf_default,lose_back,lb_default,name0,balloon0,face0,message0,name1,face1,balloon1,message1,name2,face2,balloon2,message2
type,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
common1,default,余1,default,普1,default,負1,default,負1,win_front,a,,入れ替わっている時に雲山が\nもっと自由に動いてくれたら\n良いのになー\,,,,,,,,
common2,default,普2,default,普1,default,負1,default,負1,win_front,a,,あースッキリした！\nやっぱり決闘は最高ね！\,,,,,,,,
common3,default,惑1,default,普1,default,負1,default,負1,win_front,a,,聖様をスレイブにする\nなんて緊張するわー\,,汗1,a,でも、ちょっと快感？\,,,,
reimu1,default,嬉1,default,普1,default,負1,default,負1,win_front,a,,この異変は面白いわー\nもう暫く遊んでみない？\,,,,,,,,
marisa1,default,普2,default,普1,default,負1,default,負1,win_front,a,,トリッキーな戦い方は\n苦手そうね\,,,,,,,,
ichirin1,default,惑1,default,普1,default,負1,default,負1,win_front,a,,やっぱり憑依で\n入れ替わってしまうと\n雲山に声が届かなくなるか\,,,,,,,,
hijiri1,default,嬉1,default,普1,default,負1,default,負1,win_front,a,,是非、私をスレイブに起用して\n頂けませんかね\,,,,,,,,
futo1,default,嬉1,default,普1,default,負1,default,負1,win_front,a,,ほら、私の方がスレイブの扱いに\n慣れているわ\,,,,,,,,
miko1,default,嬉1,default,普1,default,負1,default,負1,win_front,a,,聖様と喧嘩していない\n貴方を見る日が来るとは感激です\,,,,,,,,
miko2,default,惑1,default,普1,default,負1,default,負1,win_front,c,,失礼を承知で進言しますが\,,普2,a,今日は一段と寝癖が凄いですよ\n整えた方が格好良いと思いますよ\,,,,
nitori1,default,汗1,default,普1,default,負1,default,負1,win_front,a,,完全憑依の相手って\nその機械で洗脳して\n操ったりしてない？\,,,,,,,,
koishi1,default,嬉1,default,普1,default,負1,default,負1,win_front,a,,無心と何も考えていない\nは別物だって\n聖様が言ってました\,,,,,,,,
mamizou1,default,惑1,default,普1,default,負1,default,負1,win_front,a,,戦場までお酒を持ってくるなんて\nよっぽど好きなんでしょうねぇ\,,,,,,,,
kokoro1,default,惑1,default,普1,default,負1,default,負1,win_front,a15x2,,割と感情豊かになったみたいだけど\n表情は能面のままなのねぇ\,,,,,,,,
kasen1,default,普1,default,普1,default,負1,default,負1,win_front,a,,霞って美味しいんです？\,,,,,,,,
mokou1,default,嬉1,default,普1,default,負1,default,負1,win_front,a,,死にたがりだと思っていたけど\n随分と楽しそうだねぇ\n良かった良かった\,,,,,,,,
sinmyoumaru1,default,余1,default,普1,default,負1,default,負1,win_front,a,,小人って身体も小さければ\n中身も小さいね！\,,,,,,,,
usami1,default,普1,default,普1,default,負1,default,負1,win_front,a,,仏教ではね\n超能力とか自慢する事は\n徳の低い人間のやる事なんだって\,,,,,,,,
udonge1,default,汗1,default,普1,default,負1,default,負1,win_front,a,,気持ち悪い弾幕ね\n貴方と組む人の気が知れないわ\,,,,,,,,
doremy1,default,惑1,default,普1,default,負1,default,負1,win_front,a,,貴方を見てると眠くなる……\,,,,,,,,
tenshi1,default,驚1,default,普1,default,負1,default,負1,win_front,a,,え？\nその頭の桃は食べられるの？\,,,,,,,,
yukari1,default,汗1,default,普1,default,負1,default,負1,win_front,a,,入道と海坊主の境界は何かって？\nそりゃ海岸線なんじゃない？\,,,,,,,,
jyoon1,default,余1,default,普1,default,負1,default,負1,win_front,a,,そんなチャラチャラしたもんに\nお金をかけてはいけないって\n聖様が言ってました\,,,,,,,,
jyoon2,default,驚1,default,普1,shion,負1,default,負1,win_front,a,,その乞食のような格好……\nもしかして托鉢の修行中ですか？\,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,n,,,,
