key,win_front,wf_default,win_back,wb_default,lose_front,lf_default,lose_back,lb_default,name0,balloon0,face0,message0,name1,face1,balloon1,message1,name2,face2,balloon2,message2
type,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
common1,default,普1,default,普1,default,負1,default,負1,win_front,a,,常に自然体であれ\nそれが最強への近道よ\,,,,,,,,
common2,default,普1,default,普1,default,負1,default,負1,win_front,a,,なる程、仙人同士組むと\n仙術が使いやすくなるのね\n気のせいかも知れないけど\,,,,,,,,
reimu1,default,惑1,default,普1,default,負1,default,負1,win_front,a,,完全憑依異変には謎が多すぎる\nこれは解決には苦労しそうね\,,,,,,,,
reimu2,default,普2,default,普1,default,負1,default,負1,win_front,a,,守矢神社の\R[索道|ロープウェイ]だけどね\nあれ多分河童と天狗が組んで\n仕掛けてるよ\,,汗1,a,このままじゃあ\n商売面では博麗神社に\n勝ち目はないかも\,,,,
marisa1,default,余1,default,普1,default,負1,default,負1,win_front,a,,最近、大人しいじゃない\n本業の泥棒稼業が\,,,,,,,,
ichirin1,default,嬉1,default,普1,default,負1,default,負1,win_front,a,,みんな、貴方じゃなくて\n後ろの入道ばかり見ていて\n可哀想ねぇ\,,,,,,,,
hijiri1,default,普2,default,普1,default,負1,default,負1,win_front,a,,貴方も完全憑依異変の調査を\n始めたのね、でもこの異変は\n一筋縄ではいかないわよ\,,,,,,,,
futo1,default,余1,default,普1,default,負1,default,負1,win_front,a,,常に私が鬼門に来るように\n動く戦い方は見事だわ\nそれでも勝っちゃうけど\,,,,,,,,
miko1,default,普2,default,普1,default,負1,default,負1,win_front,a,,貴方も完全憑依異変の調査を\n始めたのね、でもこの異変は\n一筋縄ではいかないわよ\,,,,,,,,
nitori1,default,驚1,default,普1,default,負1,default,負1,win_front,a,,完全憑依が人工的に再現出来る\nですって？\,,,,,,,,
koishi1,default,嬉1,default,普1,default,負1,default,負1,win_front,a,,お姉ちゃん元気してる？\nたまには地上に来ても良いのに\,,,,,,,,
mamizou1,default,余1,default,普1,default,負1,default,負1,win_front,a,,無限に酒が湧く瓢箪を借りてきて\n呑み比べしましょうか？\,,,,,,,,
kokoro1,default,惑1,default,普1,default,負1,default,負1,win_front,a,,感情豊かになったというか\n軽くなった気がするわねぇ\,,,,,,,,
kasen1,default,怒1,default,普1,default,負1,default,負1,win_front,a,,もしかして、夢の世界の私\T[!?]\,,,,,,,,
mokou1,default,普1,default,普1,default,負1,default,負1,win_front,a,,パワーだけで押し切っている\n様に見えて、実は無駄のない\n身のこなしをしているね\,,,,,,,,
sinmyoumaru1,default,汗1,default,普1,default,負1,default,負1,win_front,a,,身体が小さいのに\n気だけが大きくなってるねぇ\,,,,,,,,
usami1,default,普1,default,普1,default,負1,default,負1,win_front,a,,そうか、外の世界は\nまた大きく変化するみたいねぇ\,,,,,,,,
udonge1,default,惑1,default,普1,default,負1,default,負1,win_front,a,,都市伝説異変は月の民の仕業\nらしいわね\n永遠亭の連中は動かないの？\,,,,,,,,
doremy1,default,驚1,default,普1,default,負1,default,負1,win_front,a,,夢の世界\n本当に存在するみたいね\,,,,,,,,
tenshi1,default,惑1,default,普1,default,負1,default,負1,win_front,a,,貴方を見てもなお\n天人を目指すべきか否か……\,,,,,,,,
yukari1,default,決1,default,普1,default,負1,default,負1,win_front,a,,貴方は、やり方が少し乱暴ね\n本当の賢者ってのは\n他人からは愚者に見られるものよ\,,,,,,,,
jyoon1,default,余1,default,普1,default,負1,default,負1,win_front,a,,こいつに貢ぐ理由が判らない\,,,,,,,,
jyoon2,default,汗1,default,普1,shion,負1,default,負1,win_front,a,,貧相でも品があるのなら\n良いんだけどねぇ\,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,n,,,,
